,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66
120000,12139065,Fazenda Peba,Fazenda Peba,-12.38872,-49.21985,S,FRM,BR,,31.0,,,,0,,250,America/Araguaina,2020-03-11,Fazenda Peba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120001,12139066,Fazenda Água Boa,Fazenda Agua Boa,-12.42145,-49.20206,S,FRM,BR,,31.0,,,,0,,237,America/Araguaina,2020-03-11,Fazenda Agua Boa,Fazenda Água Boa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120002,12139067,Cobertão,Cobertao,-12.43194,-49.21469,L,LCTY,BR,,31.0,,,,0,,258,America/Araguaina,2020-03-11,Cobertao,Cobertão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120003,12139068,Fazenda Embiruçu,Fazenda Embirucu,-12.47391,-49.18339,S,FRM,BR,,31.0,,,,0,,249,America/Araguaina,2020-03-11,Fazenda Embirucu,Fazenda Embiruçu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120004,12139069,Fazenda Telefone,Fazenda Telefone,-12.4885,-49.18001,S,FRM,BR,,31.0,,,,0,,250,America/Araguaina,2020-03-11,Fazenda Telefone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120005,12139070,Fazenda Pontal,Fazenda Pontal,-12.58151,-49.44696,S,FRM,BR,,31.0,,,,0,,255,America/Araguaina,2020-03-11,Fazenda Pontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120006,12139071,Fazenda Jataí,Fazenda Jatai,-12.58311,-49.39592,S,FRM,BR,,31.0,,,,0,,247,America/Araguaina,2020-03-11,Fazenda Jatai,Fazenda Jataí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120007,12139072,Fazenda Jataí,Fazenda Jatai,-12.51535,-49.45514,S,FRM,BR,,31.0,,,,0,,223,America/Araguaina,2020-03-11,Fazenda Jatai,Fazenda Jataí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120008,12139073,Fazenda Mimosa,Fazenda Mimosa,-12.61583,-49.33242,S,FRM,BR,,31.0,,,,0,,224,America/Araguaina,2020-03-11,Fazenda Mimosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120009,12139074,Fazenda Noca,Fazenda Noca,-12.65478,-49.37671,S,FRM,BR,,31.0,,,,0,,236,America/Araguaina,2020-03-11,Fazenda Noca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120010,12139075,Fazenda Mato Grosso,Fazenda Mato Grosso,-12.6932,-49.38667,S,FRM,BR,,31.0,,,,0,,250,America/Araguaina,2020-03-11,Fazenda Mato Grosso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120011,12139076,Fazenda Lago Formoso,Fazenda Lago Formoso,-12.74406,-49.35234,S,FRM,BR,,31.0,,,,0,,228,America/Araguaina,2020-03-11,Fazenda Lago Formoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120012,12139077,Fazenda Bom Jardim,Fazenda Bom Jardim,-12.71596,-49.3342,S,FRM,BR,,31.0,,,,0,,239,America/Araguaina,2020-03-11,Fazenda Bom Jardim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120013,12139078,Fazenda Imbacuba,Fazenda Imbacuba,-12.67541,-49.21344,S,FRM,BR,,31.0,,,,0,,263,America/Araguaina,2020-03-11,Fazenda Imbacuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120014,12139079,Fazenda Tamboril,Fazenda Tamboril,-12.6763,-49.18357,S,FRM,BR,,31.0,,,,0,,258,America/Araguaina,2020-03-11,Fazenda Tamboril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120015,12139080,Fazenda Pantanal,Fazenda Pantanal,-12.70814,-49.20046,S,FRM,BR,,31.0,,,,0,,280,America/Araguaina,2020-03-11,Fazenda Pantanal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120016,12139081,Fazenda Brejão,Fazenda Brejao,-12.73357,-49.23141,S,FRM,BR,,31.0,,,,0,,271,America/Araguaina,2020-03-11,Fazenda Brejao,Fazenda Brejão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120017,12139082,Fazenda Recanto,Fazenda Recanto,-12.75971,-49.18605,S,FRM,BR,,31.0,,,,0,,302,America/Araguaina,2020-03-11,Fazenda Recanto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120018,12139083,Fazenda Dois Irmãos,Fazenda Dois Irmaos,-12.76611,-49.17645,S,FRM,BR,,31.0,,,,0,,294,America/Araguaina,2020-03-11,Fazenda Dois Irmaos,Fazenda Dois Irmãos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120019,12139084,Fazenda Palestina,Fazenda Palestina,-12.77732,-49.21611,S,FRM,BR,,31.0,,,,0,,283,America/Araguaina,2020-03-11,Fazenda Palestina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120020,12139085,Fazenda Miragem,Fazenda Miragem,-12.7887,-49.29294,S,FRM,BR,,31.0,,,,0,,253,America/Araguaina,2020-03-11,Fazenda Miragem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120021,12139086,Fazenda da Mata,Fazenda da Mata,-12.79813,-49.38631,S,FRM,BR,,31.0,,,,0,,262,America/Araguaina,2020-03-11,Fazenda da Mata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120022,12139087,Fazenda Brejão,Fazenda Brejao,-12.79884,-49.44287,S,FRM,BR,,31.0,,,,0,,239,America/Araguaina,2020-03-11,Fazenda Brejao,Fazenda Brejão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120023,12139088,Fazenda Curicacas,Fazenda Curicacas,-12.79368,-49.20544,S,FRM,BR,,31.0,,,,0,,267,America/Araguaina,2020-03-11,Fazenda Curicacas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120024,12139089,Fazenda São Jonas,Fazenda Sao Jonas,-12.82765,-49.48466,S,FRM,BR,,31.0,,,,0,,259,America/Araguaina,2020-03-11,Fazenda Sao Jonas,Fazenda São Jonas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120025,12139090,Fazenda Martim,Fazenda Martim,-12.87158,-49.49284,S,FRM,BR,,31.0,,,,0,,254,America/Araguaina,2020-03-11,Fazenda Martim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120026,12139091,Fazenda Escuro,Fazenda Escuro,-12.90697,-49.42722,S,FRM,BR,,31.0,,,,0,,238,America/Araguaina,2020-03-11,Fazenda Escuro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120027,12139092,Fazenda Lagoa,Fazenda Lagoa,-12.95997,-49.48591,S,FRM,BR,,31.0,,,,0,,245,America/Araguaina,2020-03-11,Fazenda Lagoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120028,12139093,Fazenda da Vargem,Fazenda da Vargem,-12.95446,-49.31784,S,FRM,BR,,31.0,,,,0,,272,America/Araguaina,2020-03-11,Fazenda da Vargem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120029,12139094,Fazenda Peba,Fazenda Peba,-12.8995,-49.27213,S,FRM,BR,,31.0,,,,0,,273,America/Araguaina,2020-03-11,Fazenda Peba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120030,12139095,Fazenda Brejão,Fazenda Brejao,-12.82996,-49.35679,S,FRM,BR,,31.0,,,,0,,254,America/Araguaina,2020-03-11,Fazenda Brejao,Fazenda Brejão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120031,12139096,Córrego Poção,Corrego Pocao,-12.05704,-49.42526,H,STM,BR,,31.0,,,,0,,260,America/Araguaina,2020-03-11,Corrego Pocao,Córrego Poção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120032,12139097,Ribeirão Gameleira,Ribeirao Gameleira,-12.00795,-49.40641,H,STM,BR,,31.0,,,,0,,246,America/Araguaina,2020-03-11,Ribeirao Gameleira,Ribeirão Gameleira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120033,12139098,Córrego Saltador,Corrego Saltador,-12.04921,-49.40445,H,STM,BR,,31.0,,,,0,,254,America/Araguaina,2020-03-11,Corrego Saltador,Córrego Saltador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120034,12139099,Córrego das Lajes,Corrego das Lajes,-12.05526,-49.37635,H,STM,BR,,31.0,,,,0,,259,America/Araguaina,2020-03-11,Corrego das Lajes,Córrego das Lajes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
