0,3375720,Tawaribar Rapids,Tawaribar Rapids,2.66667,-59.96667,H,RPDS,BR,GY,0.0,,,,0,,103,America/Guyana,2014-03-07,Tawaribar Rapids,Tawiribar,Tawiribar Fall,Tawiribar Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3377287,Machpawa Falls,Machpawa Falls,2.9,-59.95,H,FLLS,BR,GY,0.0,,,,0,,103,America/Guyana,2014-03-07,Maca-pawa,Machpawa Fall,Machpawa Falls,Mais Pau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3377723,Kulutuik Fall,Kulutuik Fall,5.08333,-59.96667,H,FLLS,BR,GY,0.0,,,,0,,686,America/Guyana,2014-03-07,Kulutuik Fall,Kurutuik Fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3377733,Kukuipawa Falls,Kukuipawa Falls,2.82548,-59.95024,H,FLLS,BR,GY,0.0,,,,0,,103,America/Guyana,2014-03-07,Kukui-pau,Kukui-pawa,Kukuipaw Falls,Kukuipawa Falls,Kukuipow Falls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3377883,Kenukawai Mountain,Kenukawai Mountain,1.46667,-58.43333,T,MT,BR,GY,0.0,,,,0,,557,America/Guyana,2014-03-07,Kenukawai,Kenukawai Mountain,Mount Kenukawai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3377910,Kassuwau Fall,Kassuwau Fall,1.98333,-59.73333,H,FLLS,BR,GY,0.0,,,,0,,211,America/Guyana,2014-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3377932,Kariwapawa Fall,Kariwapawa Fall,2.98333,-59.95,H,FLLS,BR,GY,0.0,,,,0,,93,America/Guyana,2014-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3377964,Karaparu Rapid,Karaparu Rapid,4.4,-59.68333,H,RPDS,BR,GY,0.0,,,,0,,418,America/Guyana,2014-03-07,Karaparu Rapid,Karaparu Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3378003,Kanawa Rapid,Kanawa Rapid,4.41667,-59.7,H,RPDS,BR,GY,0.0,,,,0,,417,America/Guyana,2014-03-07,Kanawa,Kanawa Rapid,Kanawa Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3380043,Cachoeira Acaraiou,Cachoeira Acaraiou,3.23079,-52.28321,H,FLLS,BR,,0.0,,,,0,,57,America/Cayenne,2015-07-03,Cachoeira Acaraiou,Saut Cuacarayau,Saut Cuaracayau,Saut Ouacarayau,Saut Ouacarayou,Sauts Wakarayou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3380047,Cachoeira Ouaouarou,Cachoeira Ouaouarou,3.33922,-52.17164,H,FLLS,BR,,0.0,,,,0,,51,America/Cayenne,2015-07-03,Cachoeira Ouaouarou,Cachoeira Quaouaru,Saut Ouayeouarou,Sauts Waiwarou,Sauts Waïwarou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
