20000,3404844,Brejo dos Santos,Brejo dos Santos,-6.37667,-37.82472,P,PPL,BR,,17.0,2502904.0,,,0,,337,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,3404845,Brejo dos Cágados,Brejo dos Cagados,-6.91667,-43.93333,P,PPL,BR,,20.0,2208551.0,,,0,,242,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20002,3404846,Brejo dos Altos,Brejo dos Altos,-8.93333,-44.28333,P,PPL,BR,,20.0,2209302.0,,,0,,265,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20003,3404847,Brejo do Gomes,Brejo do Gomes,-9.43333,-42.16667,P,PPL,BR,,5.0,2926004.0,,,0,,426,America/Bahia,2012-08-03,Brejo,Brejo do Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20004,3404848,Serra do Brejo do Cruz,Serra do Brejo do Cruz,-6.36667,-37.51667,T,MT,BR,,17.0,2502805.0,,,0,,241,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20005,3404849,Brejo do Cruz,Brejo do Cruz,-6.34861,-37.49833,P,PPL,BR,,17.0,2502805.0,,,0,,201,America/Fortaleza,2012-08-03,Brejo da Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20006,3404850,Brejo do Coqueiro,Brejo do Coqueiro,-6.48333,-41.36667,P,PPL,BR,,20.0,2208106.0,,,0,,351,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007,3404851,Brejo do Burgo,Brejo do Burgo,-9.35,-38.46667,P,PPL,BR,,5.0,2911402.0,,,0,,310,America/Bahia,2012-08-03,Brejo do Borbo,Brejo do Burgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20008,3404852,Brejo de São João,Brejo de Sao Joao,-7.98333,-42.73333,P,PPL,BR,,20.0,2207355.0,,,0,,307,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20009,3404853,Brejo de São Félix,Brejo de Sao Felix,-5.46889,-43.49417,P,PPLL,BR,,13.0,2107803.0,,,0,,191,America/Fortaleza,2012-08-03,Sao Felix,São Félix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010,3404854,Brejo de Santo Inácio,Brejo de Santo Inacio,-7.41667,-41.91667,P,PPL,BR,,20.0,2209500.0,,,0,,227,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20011,3404855,Brejo de Santo Antônio,Brejo de Santo Antonio,-7.48333,-40.11667,P,PPL,BR,,30.0,2602001.0,,,0,,616,America/Recife,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20012,3404856,Brejo de Dentro,Brejo de Dentro,-7.9,-37.66667,P,PPL,BR,,30.0,2603900.0,,,0,,638,America/Recife,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20013,3404857,Brejo das Pedras,Brejo das Pedras,-7.4,-41.9,P,PPL,BR,,20.0,2209500.0,,,0,,175,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20014,3404858,Brejo das Freiras,Brejo das Freiras,-6.7,-38.51667,P,PPL,BR,,17.0,2500700.0,,,0,,262,America/Fortaleza,2012-08-03,Brejo das Freiras,Piloes,Pilões,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20015,3404859,Brejo da Roça,Brejo da Roca,-8.23861,-45.65528,P,PPL,BR,,13.0,2112001.0,,,0,,239,America/Fortaleza,2012-08-03,Barra da Roca,Barra da Roça,Brejo da Roca,Brejo da Roça,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20016,3404860,Brejo da Porta,Brejo da Porta,-8.49972,-45.73806,P,PPL,BR,,20.0,2209203.0,,,0,,252,America/Fortaleza,2018-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20017,3404861,Brejo da Onça,Brejo da Onca,-5.81667,-41.35,P,PPL,BR,,20.0,2210409.0,,,0,,296,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20018,3404862,Brejo da Madre de Deus,Brejo da Madre de Deus,-8.14583,-36.37111,P,PPL,BR,,30.0,2602605.0,,,27369,,654,America/Recife,2012-08-03,Madre de Deus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20019,3404863,Brejo da Fortaleza,Brejo da Fortaleza,-6.75,-41.81667,P,PPL,BR,,20.0,2204808.0,,,0,,432,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020,3404864,Ribeirão Brejo da Cruz,Ribeirao Brejo da Cruz,-9.93333,-46.73333,H,STM,BR,,31.0,,,,0,,353,America/Araguaina,2020-06-11,Brejo da Cruz,Corrego da Cruz,Córrego da Cruz,Ribeirao Brejo da Cruz,Ribeirão Brejo da Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20021,3404865,Brejo Alegre,Brejo Alegre,-2.91667,-39.83333,L,AREA,BR,,6.0,,,,0,,-9999,America/Fortaleza,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20022,3404866,Serra do Brejo,Serra do Brejo,-9.61667,-36.56667,T,UPLD,BR,,2.0,,,,0,,272,America/Maceio,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20023,3404867,Serra do Brejo,Serra do Brejo,-6.38333,-37.58333,T,HLL,BR,,17.0,2502805.0,,,0,,224,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20024,3404868,Riacho do Brejo,Riacho do Brejo,-8.71667,-44.25,H,STMI,BR,,20.0,,,,0,,298,America/Araguaina,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20025,3404869,Riacho do Brejo,Riacho do Brejo,-8.13333,-42.81667,H,STMI,BR,,20.0,,,,0,,260,America/Araguaina,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20026,3404870,Riacho do Brejo,Riacho do Brejo,-6.81667,-41.33333,H,STMI,BR,,20.0,,,,0,,331,America/Fortaleza,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20027,3404871,Riacho do Brejo,Riacho do Brejo,-5.33333,-42.33333,H,STMI,BR,,20.0,,,,0,,128,America/Fortaleza,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20028,3404872,Brejo,Brejo,-9.71667,-45.08333,P,PPL,BR,,20.0,2206605.0,,,0,,436,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
