Unnamed: 0,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66
70807,6317136,Fernando de Noronha (Distrito Estadual),Fernando de Noronha (Distrito Estadual),-3.84028,-32.41083,P,PPL,BR,,30.0,2605459.0,,,3012,,28,America/Recife,2021-07-27,peleunando de nolona,페르난도 데 노로나,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73435,6319772,Porto Rico do Maranhão,Porto Rico Do Maranhao,-1.85517,-44.6093,A,ADM2,BR,,13.0,2109056.0,,,6062,,20,America/Belem,2015-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75948,6322286,Ilhabela,Ilhabela,-23.8484,-45.32321,A,ADM2,BR,,27.0,3520400.0,,,28176,,571,America/Sao_Paulo,2016-06-23,Ilhabela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78139,6500876,San Marino Hotel,San Marino Hotel,-13.0099,-38.5237,S,HTL,BR,,5.0,2927408.0,,,0,,21,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78167,6502845,Bahia Othon Palace Hotel,Bahia Othon Palace Hotel,-13.0099,-38.5125,S,HTL,BR,,5.0,2927408.0,,,0,,16,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78179,6504105,Pestana Bahia Hotel,Pestana Bahia Hotel,-13.0162,-38.4867,S,HTL,BR,,5.0,2927408.0,,,0,,25,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78244,6507539,Mercure Apt Pasargada 3,MERCURE APT PASARGADA 3,-20.807,-40.2676,S,HTL,BR,,1.0,,,,0,,-9999,America/Sao_Paulo,2007-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78301,6518493,Maison Joly,MAISON JOLY,-23.7833,-45.3499,S,HTL,BR,,27.0,3520400.0,,,0,,311,America/Sao_Paulo,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78309,6519363,Oca Miramar Maragogi Resort,OCA MIRAMAR MARAGOGI RESORT,-9.0166,-35.2166,S,HTL,BR,,2.0,,,,0,,-9999,America/Maceio,2007-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78359,6523376,Convento Do Carmo Hotel,CONVENTO DO CARMO HOTEL,-12.966,-38.3966,S,HTL,BR,,5.0,,,,0,,-9999,America/Bahia,2007-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78393,6527959,Blue Tree Premium Salvador,BLUE TREE PREMIUM SALVADOR,-13.0166,-38.5,S,HTL,BR,,5.0,,,,0,,1,America/Bahia,2007-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78578,7114326,Ilha Grande,Ilha Grande,-23.15236,-44.23164,T,ISL,BR,,21.0,3300100.0,,,3000,,876,America/Sao_Paulo,2020-06-05,Big Island,Ilha Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78581,7116058,Farol da Fortaleza de Santa Cruz,Farol da Fortaleza de Santa Cruz,-22.93801,-43.13432,S,LTHSE,BR,,21.0,3303302.0,,,0,,1,America/Sao_Paulo,2022-07-04,Santa Cruz Lighthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78582,7116059,Fortaleza de Santa Cruz da Barra,Fortaleza de Santa Cruz da Barra,-22.938,-43.13383,S,FT,BR,,21.0,3303302.0,,,0,,19,America/Sao_Paulo,2016-07-05,Fort Santa Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78601,7279604,Alamar Hotel,Alamar Hotel,-12.995,-38.4415,S,HTL,BR,,5.0,2927408.0,,,0,,16,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78605,7279608,Amaralina Praia Hotel,Amaralina Praia Hotel,-13.0118,-38.4678,S,HTL,BR,,5.0,2927408.0,,,0,,8,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78630,7279633,Hotel Atlântico,Hotel Atlantico,-12.9969,-38.4432,S,HTL,BR,,5.0,2927408.0,,,0,,14,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78635,7279651,Bahia Mar Hotel,Bahia Mar Hotel,-12.9938,-38.4416,S,HTL,BR,,5.0,2927408.0,,,0,,18,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78640,7279656,Beach Class Resort Muro Alto,Beach Class Resort Muro Alto,-8.43522,-34.982,S,HTL,BR,,30.0,2607208.0,,,0,,14,America/Recife,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78736,7279874,Catussaba Hotel Geral,Catussaba Hotel Geral,-12.9457,-38.3406,S,HTL,BR,,5.0,2927408.0,,,0,,9,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78803,7279967,Ecoresort Tororomba,Ecoresort Tororomba,-14.992,-38.9979,S,HTL,BR,,5.0,2913606.0,,,0,,5,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78866,7280154,Camburi Praia Hotel,Camburi Praia Hotel,-20.2867,-40.2914,S,HTL,BR,,8.0,3205309.0,,,0,,7,America/Sao_Paulo,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78901,7280202,Porto Suites Natal Hotel,Porto Suites Natal Hotel,-5.78035,-35.1935,S,HTL,BR,,22.0,2408102.0,,,0,,3,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78914,7280217,Hotel Iberostar Bahia,Hotel Iberostar Bahia,-12.5503,-37.9882,S,HTL,BR,,5.0,2921005.0,,,0,,5,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78936,7280250,Itacaré Eco Resort,Itacare Eco Resort,-14.2861,-38.9852,S,HTL,BR,,5.0,2914901.0,,,0,,6,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78940,7280254,Pestana Angra Beach Bungalows,Pestana Angra Beach Bungalows,-22.99206,-44.33751,S,HTL,BR,,21.0,3300100.0,,,0,,25,America/Sao_Paulo,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78949,7280263,Hotel Rosa Nautica,Hotel Rosa Nautica,-5.88143,-35.17154,S,HTL,BR,,22.0,2408102.0,,,0,,15,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79000,7280358,Marulhos Suítes Hotel,Marulhos Suites Hotel,-8.43658,-34.9825,S,HTL,BR,,30.0,2607208.0,,,0,,13,America/Recife,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79034,7280402,Monte Pascoal Praia Hotel,Monte Pascoal Praia Hotel,-13.0093,-38.5265,S,HTL,BR,,5.0,2927408.0,,,0,,10,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79051,7280430,Natal Mar Hotel,Natal Mar Hotel,-5.85105,-35.1791,S,HTL,BR,,22.0,2408102.0,,,0,,-9999,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79062,7280448,Ocean Palace Beach Resort & Bungalows,Ocean Palace Beach Resort & Bungalows,-5.79282,-35.1857,S,HTL,BR,,22.0,2408102.0,,,0,,6,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79066,7280453,Olympo Praia Hotel,Olympo Praia Hotel,-3.7252,-38.499,S,HTL,BR,,6.0,2304400.0,,,0,,16,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79080,7280490,Hotel Parque da Costeira,Hotel Parque da Costeira,-5.79279,-35.1858,S,HTL,BR,,22.0,2408102.0,,,0,,6,America/Fortaleza,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79082,7280494,Patamares Praia Hotel,Patamares Praia Hotel,-12.9662,-38.4061,S,HTL,BR,,5.0,2927408.0,,,0,,8,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79093,7280517,Pituba Plaza Hotel,Pituba Plaza Hotel,-13.0045,-38.4544,S,HTL,BR,,5.0,2927408.0,,,0,,11,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79105,7280539,Hotel Ponta do Madeiro,Hotel Ponta do Madeiro,-5.83896,-35.1792,S,HTL,BR,,22.0,,,,0,,-9999,America/Fortaleza,2010-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79124,7280558,Porto Pacuiba Hotel,Porto Pacuiba Hotel,-23.758,-45.351,S,HTL,BR,,27.0,3520400.0,,,0,,7,America/Sao_Paulo,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79127,7280561,Portobello Ondina Praia Hotel,Portobello Ondina Praia Hotel,-13.0099,-38.5128,S,HTL,BR,,5.0,2927408.0,,,0,,16,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
