Unnamed: 0,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66
40000,3457989,Laje de Mangaratiba,Laje de Mangaratiba,-23.01205,-44.07714,T,RK,BR,,21.0,,,,0,,-9999,America/Sao_Paulo,2018-11-06,Laje de Mangaratiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40001,3457990,Baía de Mangaratiba,Baia de Mangaratiba,-22.9551,-44.0583,H,BAY,BR,,21.0,,,,0,,-9999,America/Sao_Paulo,2012-01-19,Baia de Mangaratiba,Baía de Mangaratiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40052,3458041,Ilha de Mandigituba,Ilha de Mandigituba,-26.20242,-48.49168,T,ISL,BR,,26.0,4216206.0,,,0,,24,America/Sao_Paulo,2017-12-20,Ilha de Mandigituba,Ilha de Montegituba,Mondijituba Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40096,3458085,Saco do Mamanguá,Saco do Mamangua,-23.26729,-44.63069,H,INLT,BR,,21.0,,,,0,,47,America/Sao_Paulo,2018-11-06,Baia de Mamangua,Baía de Mamanguá,Saco de Mamangua,Saco de Mamanguá,Saco do Mamangua,Saco do Mamanguá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40152,3458141,Rio Magé,Rio Mage,-22.7,-43.05,H,STM,BR,,21.0,,,,0,,-9999,America/Sao_Paulo,2021-08-13,Mage River,Magé River,Rio Mage,Rio Magé,Rio Maje,Rio Majé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40160,3458149,Ponta da Mãe Maria,Ponta da Mae Maria,-22.81667,-43.26667,T,PT,BR,,21.0,,,,0,,1,America/Sao_Paulo,2012-12-05,Ponta da Mae Maria,Ponta da Mãe Maria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40166,3458155,Ilha da Mãe,Ilha da Mae,-22.98374,-43.06515,T,ISL,BR,,21.0,3303302.0,,,0,,64,America/Sao_Paulo,2017-12-26,Ilha da Mae,Ilha da Mãe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40185,3458174,Ilha dos Macucos,Ilha dos Macucos,-27.21667,-48.48333,T,ISL,BR,,26.0,,,,0,,-9999,America/Sao_Paulo,2012-01-19,Ilha do Amendoim,Ilha dos Macucos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40291,3458280,Ilha dos Macacos,Ilha dos Macacos,-23.07919,-44.23466,T,ISL,BR,,21.0,3300100.0,,,0,,104,America/Sao_Paulo,2014-04-08,Ilha dos Macacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40390,3458379,Ilha do Lucínio,Ilha do Lucinio,-23.08333,-44.01667,T,ISL,BR,,21.0,,,,0,,-9999,America/Sao_Paulo,2020-06-11,Ilha do Lucinio,Ilha do Lucínio,Ilha do Sino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
