Unnamed: 0,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66
30002,3447980,Ilha de Saravatá,Ilha de Saravata,-22.79937,-43.28321,T,ISL,BR,,21.0,,,,0,,4,America/Sao_Paulo,2007-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30012,3447990,Ilha da Sarangonha,Ilha da Sarangonha,-31.8,-52.11667,T,ISL,BR,,23.0,,,,0,,-9999,America/Sao_Paulo,2012-01-19,Ilha da Saragonha,Ilha da Sarangonha,Ilha da Sarangonta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30029,3448007,Ilha da Saracura,Ilha da Saracura,-23.02286,-43.94566,T,ISL,BR,,21.0,,,,0,,45,America/Sao_Paulo,2018-11-06,Ilha Saracura,Ilha da Saracura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30044,3448022,Rio Sapucaia,Rio Sapucaia,-10.66667,-36.73333,H,STM,BR,,28.0,,,,0,,-9999,America/Noronha,2021-09-05,Rio Sapucaia,Sapucaia River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30082,3448060,Ilha do Sapo,Ilha do Sapo,-20.33174,-40.26841,T,ISL,BR,,8.0,3205200.0,,,0,,-9999,America/Sao_Paulo,2018-11-29,Ilha do Sapo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30127,3448105,Ilha da Sapata,Ilha da Sapata,-24.0746,-45.65448,T,ISL,BR,,27.0,,,,0,,17,America/Sao_Paulo,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30155,3448133,Barra de São Vicente,Barra de Sao Vicente,-23.98225,-46.37213,H,INLT,BR,,27.0,,,,0,,1,America/Sao_Paulo,2016-06-15,Barra de Sao Vicente,Barra de São Vicente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30187,3448165,Cabo de São Tomé,Cabo de Sao Tome,-22.00696,-40.98743,T,CAPE,BR,,21.0,,,,0,,-9999,America/Sao_Paulo,2017-12-20,Cabo de Sao Thome,Cabo de Sao Tome,Cabo de São Thomé,Cabo de São Tomé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30215,3448193,Ponta São Simão,Ponta Sao Simao,-30.9,-50.96667,T,PT,BR,,23.0,4312500.0,,,0,,1,America/Sao_Paulo,2018-12-05,Ponta Sao Simao,Ponta São Simão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30269,3448247,Pico de São Sebastião,Pico de Sao Sebastiao,-23.86667,-45.38333,T,MT,BR,,27.0,3520400.0,,,0,,971,America/Sao_Paulo,2013-03-05,Pico de Sao Sebastiao,Pico de São Sebastião,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
