,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66
80000,7537623,Covanca,Covanca,-22.98229,-43.64266,P,PPLX,BR,,21.0,3304557.0,,,0,,32,America/Sao_Paulo,2012-08-03,Covanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80001,7537624,Morro da Covanca,Morro da Covanca,-22.98001,-43.63527,T,HLL,BR,,21.0,3304557.0,,,0,48.0,132,America/Sao_Paulo,2012-08-03,Morro da Covanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80002,7537625,Serra da Capoeira Grande,Serra da Capoeira Grande,-22.98001,-43.63527,T,HLLS,BR,,21.0,,,,0,48.0,132,America/Sao_Paulo,2012-01-21,Serra da Capoeira Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80003,7537626,Capoeira Grande,Capoeira Grande,-22.98037,-43.61892,P,PPLX,BR,,21.0,3304557.0,,,0,,10,America/Sao_Paulo,2012-08-03,Capoeira Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80004,7537627,Morro da Pedra,Morro da Pedra,-22.98782,-43.64474,T,HLL,BR,,21.0,3304557.0,,,0,36.0,52,America/Sao_Paulo,2012-08-03,Morro da Pedra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80005,7537628,Barra do Piraquê,Barra do Piraque,-23.00808,-43.62323,H,INLT,BR,,21.0,,,,0,,2,America/Sao_Paulo,2012-01-21,Barra do Piraque,Barra do Piraquê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80006,7537629,Praia da Marambaia,Praia da Marambaia,-23.04915,-43.62918,T,BCH,BR,,21.0,3304557.0,,,0,,7,America/Sao_Paulo,2016-06-22,Praia da Marambaia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80007,7537630,Ilha Baleias,Ilha Baleias,-23.04203,-43.5866,T,ISL,BR,,21.0,,,,0,,4,America/Sao_Paulo,2012-01-21,Ilha Baleias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80008,7537631,Ilhas Suruquaí,Ilhas Suruquai,-23.03747,-43.58127,T,ISL,BR,,21.0,,,,0,,7,America/Sao_Paulo,2012-01-21,Ilhas Suruquai,Ilhas Suruquaí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80009,7537632,Praia do Canto,Praia do Canto,-23.07136,-43.56763,T,BCH,BR,,21.0,3304557.0,,,0,,21,America/Sao_Paulo,2017-12-22,Praia do Canto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80010,7537633,Saco dos Meros,Saco dos Meros,-23.07584,-43.56038,H,COVE,BR,,21.0,,,,0,,-9999,America/Sao_Paulo,2017-12-22,Saco dos Meros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80011,7537634,Parque Estadual da Pedra Branca,Parque Estadual da Pedra Branca,-22.95072,-43.48579,L,PRK,BR,,21.0,3304557.0,24.0,,0,,191,America/Sao_Paulo,2019-03-17,Parque Estadual da Pedra Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80012,7537635,Praia dos Buzios,Praia dos Buzios,-23.07369,-43.55654,T,BCH,BR,,21.0,3304557.0,,,0,,19,America/Sao_Paulo,2017-12-22,Praia dos Buzios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80013,7537636,Pedra da Tartaruga,Pedra da Tartaruga,-23.07311,-43.55035,T,HLL,BR,,21.0,3304557.0,,,0,101.0,11,America/Sao_Paulo,2017-12-22,Pedra da Tartaruga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80014,7537637,Praia do Perigoso,Praia do Perigoso,-23.07173,-43.55238,T,BCH,BR,,21.0,3304557.0,,,0,,8,America/Sao_Paulo,2017-12-22,Praia do Perigoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80015,7537638,Morro Guaratiba Mirim,Morro Guaratiba Mirim,-23.0666,-43.55779,T,MT,BR,,21.0,3304557.0,,,0,331.0,292,America/Sao_Paulo,2017-12-22,Morro Guaratiba Mirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80016,7537639,Praia do Meio,Praia do Meio,-23.06639,-43.55101,T,BCH,BR,,21.0,3304557.0,,,0,,0,America/Sao_Paulo,2017-12-22,Praia do Meio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80017,7537640,Morro São João da Mantiqueíra,Morro Sao Joao da Mantiqueira,-23.05783,-43.55557,T,HLL,BR,,21.0,3304557.0,,,0,269.0,164,America/Sao_Paulo,2012-08-03,Morro Sao Joao da Mantiqueira,Morro São João da Mantiqueíra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80018,7537641,Rio João Correia,Rio Joao Correia,-23.05185,-43.56281,H,STM,BR,,21.0,,,,0,,3,America/Sao_Paulo,2012-01-21,Rio Joao Correia,Rio João Correia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80019,7537642,Campo de São João,Campo de Sao Joao,-23.04864,-43.55837,H,MGV,BR,,21.0,,,,0,,7,America/Sao_Paulo,2012-01-21,Campo de Sao Joao,Campo de São João,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80020,7537643,Canal da Varzinha,Canal da Varzinha,-23.05669,-43.56128,H,STM,BR,,21.0,,,,0,,5,America/Sao_Paulo,2012-01-21,Canal da Varzinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80021,7537644,Araçatiba,Aracatiba,-23.04461,-43.55456,P,PPLX,BR,,21.0,3304557.0,,,0,,6,America/Sao_Paulo,2012-08-03,Aracatiba,Araçatiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80022,7537645,Garganta do Grumari,Garganta do Grumari,-23.04844,-43.54989,T,GRGE,BR,,21.0,,,,0,,102,America/Sao_Paulo,2012-01-21,Garganta do Grumari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80023,7537646,Morro do Grumari,Morro do Grumari,-23.05325,-43.54401,T,HLL,BR,,21.0,3304557.0,,,0,221.0,104,America/Sao_Paulo,2012-08-03,Morro do Grumari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80024,7537647,Praia do Inferno,Praia do Inferno,-23.05755,-43.54494,T,BCH,BR,,21.0,3304557.0,,,0,,109,America/Sao_Paulo,2016-06-22,Praia do Inferno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80025,7537648,Costão do Grumari,Costao do Grumari,-23.05495,-43.5392,L,CST,BR,,21.0,,,,0,,106,America/Sao_Paulo,2012-01-21,Costao do Grumari,Costão do Grumari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80026,7537649,Rio do Mundo,Rio do Mundo,-23.05073,-43.53592,H,STM,BR,,21.0,,,,0,,8,America/Sao_Paulo,2012-01-21,Rio do Mundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80027,7537650,Morro do Breves,Morro do Breves,-23.04513,-43.54774,T,MT,BR,,21.0,3304557.0,,,0,327.0,225,America/Sao_Paulo,2012-08-03,Morro do Breves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
