,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66
36558,3454545,Ribeirão Pedra d’Água,Ribeirao Pedra d'Agua,-17.63333,-41.55,H,STM,BR,,15.0,,,,0,,421,America/Bahia,2012-12-05,Ribeirao Pedra d'Agua,Ribeirão Pedra d’Água,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36559,3454546,Riacho Pedra d’Água,Riacho Pedra d'Agua,-10.98333,-39.68333,H,STMI,BR,,5.0,,,,0,,285,America/Bahia,2021-08-24,Pedra d'Agua River,Pedra d'Água River,Riacho Pedra d'Agua,Riacho Pedra d’Água,Rio Pedra d'Agua,Rio Pedra d’Água,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36560,3454547,Pedra d’Água,Pedra d'Agua,-21.46667,-41.41667,P,PPL,BR,,21.0,3301157.0,,,0,,73,America/Sao_Paulo,2012-12-05,Pedra d'Agua,Pedra d’Água,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36561,3454548,Pedra da Baliza,Pedra da Baliza,-10.6275,-46.11694,P,PPL,BR,,5.0,2911105.0,,,0,,742,America/Bahia,2012-08-03,Pedra da Balisa,Pedra da Baliza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36562,3454549,Pedra Corrida,Pedra Corrida,-19.09333,-42.15611,P,PPLL,BR,,15.0,3149952.0,,,0,,203,America/Sao_Paulo,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36563,3454550,Pedra Canga,Pedra Canga,-20.66667,-55.81667,P,PPL,BR,,11.0,5000708.0,,,0,,179,America/Campo_Grande,2012-08-03,Cachoeira,Pedra Canga,Pedra Ganga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36564,3454551,Serra da Pedra Branca,Serra da Pedra Branca,-29.31667,-50.1,T,RDGE,BR,,0.0,,,,0,,949,America/Sao_Paulo,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36565,3454552,Serra Pedra Branca,Serra Pedra Branca,-22.15,-45.35,T,RDGE,BR,,15.0,,,,0,,1273,America/Sao_Paulo,2013-03-05,Serra Pedra Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36566,3454553,Rio da Pedra Branca,Rio da Pedra Branca,-16.33333,-39.26667,H,STM,BR,,5.0,,,,0,,107,America/Bahia,2012-01-19,Corrego Pedra Branca,Córrego Pedra Branca,Rio da Pedra Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36567,3454554,Ribeirão da Pedra Branca,Ribeirao da Pedra Branca,-18.16667,-49.25,H,STM,BR,,29.0,,,,0,,510,America/Sao_Paulo,2013-02-09,Ribeirao da Pedra Branca,Ribeirão da Pedra Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36568,3454555,Ribeirão Pedra Branca,Ribeirao Pedra Branca,-23.88333,-49.28333,H,STM,BR,,27.0,,,,0,,536,America/Sao_Paulo,2013-03-05,Ribeirao Pedra Branca,Ribeirão Pedra Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36569,3454556,Ribeirão Pedra Branca,Ribeirao Pedra Branca,-19.83333,-48.76667,H,STM,BR,,15.0,,,,0,,531,America/Sao_Paulo,2013-02-09,Ribeirao Pedra Branca,Ribeirão Pedra Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36570,3454557,Riacho da Pedra Branca,Riacho da Pedra Branca,-13.25,-43.86667,H,STMI,BR,,5.0,,,,0,,452,America/Bahia,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36571,3454558,Morro Pedra Branca,Morro Pedra Branca,-27.61609,-48.70437,T,MT,BR,,26.0,4211900.0,,,0,,378,America/Sao_Paulo,2018-10-05,Morro Pedra Branca,Pico da Pedra Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36572,3454559,Córrego Pedra Branca,Corrego Pedra Branca,-19.26667,-52.73333,H,STM,BR,,11.0,,,,0,,440,America/Campo_Grande,2020-06-11,Corrego Pedra Branca,Córrego Pedra Branca,Rio Pedra Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36573,3454560,Córrego Pedra Branca,Corrego Pedra Branca,-17.86667,-52.76667,H,STM,BR,,29.0,,,,0,,720,America/Sao_Paulo,2013-02-09,Corrego Pedra Branca,Córrego Pedra Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36574,3454561,Corredeira Pedra Branca,Corredeira Pedra Branca,-20.01667,-47.68333,H,RPDS,BR,,0.0,,,,0,,558,America/Sao_Paulo,2013-03-05,Corredeira Pedra Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36575,3454562,Pedra Branca,Pedra Branca,-21.91927,-48.39613,P,PPL,BR,,27.0,3506706.0,,,0,,608,America/Sao_Paulo,2013-03-05,Pedra Branca,Pedro Branco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36576,3454563,Pedra Branca,Pedra Branca,-26.51667,-49.13333,P,PPL,BR,,26.0,4208906.0,,,0,,54,America/Sao_Paulo,2012-08-03,Barra do Rio do Cerro,Pedra Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36577,3454564,Pedra Branca,Pedra Branca,-21.45,-45.43333,P,PPL,BR,,15.0,3169406.0,,,0,,895,America/Sao_Paulo,2013-03-05,Pedra Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36578,3454565,Pedra Branca,Pedra Branca,-21.11667,-45.8,P,PPL,BR,,15.0,3111309.0,,,0,,865,America/Sao_Paulo,2013-03-05,Pedra Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36579,3454566,Pedra Branca,Pedra Branca,-20.73333,-44.2,P,PPL,BR,,15.0,3123908.0,,,0,,1025,America/Sao_Paulo,2013-03-05,Pedra Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36580,3454567,Pedra Branca,Pedra Branca,-20.18333,-45.9,P,PPL,BR,,15.0,3105103.0,,,0,,668,America/Sao_Paulo,2013-03-05,Pedra Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36581,3454568,Pedra Branca,Pedra Branca,-13.83333,-39.58333,P,PPL,BR,,5.0,2922755.0,,,0,,232,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36582,3454569,Pedra Branca,Pedra Branca,-13.6,-40.85,P,PPL,BR,,5.0,2914307.0,,,0,,381,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36583,3454570,Pedra Branca,Pedra Branca,-13.35,-42.25,P,PPL,BR,,5.0,2923605.0,,,0,,723,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36584,3454571,Pedra Branca,Pedra Branca,-12.41667,-41.15,P,PPL,BR,,5.0,2919009.0,,,0,,446,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36585,3454572,Serra da Pedra Bonita,Serra da Pedra Bonita,-21.6,-42.35,T,HLLS,BR,,0.0,,,,0,,371,America/Sao_Paulo,2012-12-05,Serra da Pedra Bonita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36586,3454573,Pedra Bonita,Pedra Bonita,-20.52056,-42.33,P,PPL,BR,,15.0,3148756.0,,,0,,895,America/Sao_Paulo,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36587,3454574,Pedra Bonita,Pedra Bonita,-12.28333,-39.31667,P,PPL,BR,,5.0,2913804.0,,,0,,181,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36588,3454575,Pedra Bela,Pedra Bela,-22.79306,-46.44306,P,PPL,BR,,27.0,3536802.0,,,0,,1107,America/Sao_Paulo,2012-08-03,Pedra Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36589,3454576,Pico Pedra Azul,Pico Pedra Azul,-20.43333,-40.98333,T,MT,BR,,8.0,3201902.0,,,0,,1438,America/Sao_Paulo,2012-12-05,Pico Pedra Azul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36590,3454577,Córrego Pedra Azul,Corrego Pedra Azul,-19.25,-52.81667,H,STM,BR,,11.0,,,,0,,441,America/Campo_Grande,2013-02-09,Corrego Pedra Azul,Córrego Pedra Azul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36591,3454578,Pedra Azul,Pedra Azul,-16.00528,-41.29722,P,PPL,BR,,15.0,3148707.0,,,20899,,678,America/Sao_Paulo,2012-08-03,Fortaleza,Forteleza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36592,3454579,Pedra Alta,Pedra Alta,-11.13643,-39.16421,P,PPL,BR,,5.0,2902104.0,,,0,,365,America/Bahia,2013-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36593,3454580,Riacho de Pedra,Riacho de Pedra,-14.4,-45.1,H,STMI,BR,,5.0,,,,0,,723,America/Bahia,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
