,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66
110000,10232813,Pousada Sambass,Pousada Sambass,-13.38022,-38.91191,S,HTL,BR,,5.0,2905404.0,,,0,,6,America/Bahia,2015-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110001,10232939,Aspen Bergson Flat,Aspen Bergson Flat,-29.17009,-51.17976,S,HTL,BR,,23.0,4305108.0,,,0,,787,America/Sao_Paulo,2015-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110002,10232940,Pousada Da Chacara,Pousada Da Chacara,-29.35414,-51.0997,S,HTL,BR,,23.0,4313201.0,,,0,,556,America/Sao_Paulo,2015-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110003,10233100,Vila Gale Rio De Janeiro,Vila Gale Rio De Janeiro,-22.91448,-43.1847,S,HTL,BR,,21.0,3304557.0,,,0,,18,America/Sao_Paulo,2015-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110004,10233126,Pousada Das Araras,Pousada Das Araras,-22.28152,-48.1296,S,HTL,BR,,27.0,3507902.0,,,0,,639,America/Sao_Paulo,2015-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110005,10233149,Zoghbi All Suites Hotel,Zoghbi All Suites Hotel,-1.45384,-48.49544,S,HTL,BR,,16.0,1501402.0,,,0,,12,America/Belem,2015-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110006,10233150,Radisson Hotel Belem,Radisson Hotel Belem,-1.45492,-48.48898,S,HTL,BR,,16.0,1501402.0,,,0,,21,America/Belem,2015-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110007,10233151,Ecopousada Miriti,Ecopousada Miriti,-1.45492,-48.49548,S,HTL,BR,,16.0,1501402.0,,,0,,13,America/Belem,2015-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110008,10233152,Holiday Inn Express Belem Ananindeua,Holiday Inn Express Belem Ananindeua,-1.45575,-48.49018,S,HTL,BR,,16.0,1501402.0,,,0,,20,America/Belem,2015-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110009,10233153,Sagres Belem,Sagres Belem,-1.44822,-48.46767,S,HTL,BR,,16.0,1501402.0,,,0,,16,America/Belem,2015-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
