Unnamed: 0,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66
121219,12148909,Praia do Rio Verde,Praia do Rio Verde,-16.60429,-39.09304,P,PPL,BR,,5.0,2925303.0,,,0,,6,America/Bahia,2020-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122312,12229359,Parque Marinha do Brasil,Parque Marinha do Brasil,-30.05503,-51.23132,L,PRK,BR,,23.0,,,,0,,9,America/Sao_Paulo,2021-04-17,Parque Marinha do Brasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122315,12229362,Anfiteatro Pôr-do-Sol,Anfiteatro Por-do-Sol,-30.04603,-51.2337,S,AMTH,BR,,23.0,,,,0,,5,America/Sao_Paulo,2021-04-17,Anfiteatro Por-do-Sol,Anfiteatro Pôr-do-Sol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123756,12387042,Ponta Grossa,Ponta Grossa,-23.98932,-46.18209,T,PT,BR,,27.0,,,,0,,-9999,America/Sao_Paulo,2021-12-19,Ponta Grossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123758,12387044,Enseada de Santo Amaro,Enseada de Santo Amaro,-23.98719,-46.21628,H,COVE,BR,,27.0,,,,0,,1,America/Sao_Paulo,2021-12-19,Enseada de Santo Amaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123759,12387045,Enseada do Guarujá,Enseada do Guaruja,-23.99182,-46.23942,H,COVE,BR,,27.0,,,,0,,1,America/Sao_Paulo,2021-12-19,Enseada do Guaruja,Enseada do Guarujá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123760,12387046,Morro de Maluf,Morro de Maluf,-23.99424,-46.24851,T,HLL,BR,,27.0,,,,0,,1,America/Sao_Paulo,2021-12-19,Morro de Maluf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123766,12387052,Ilhote Praia Grande,Ilhote Praia Grande,-23.91535,-46.16762,T,ISL,BR,,27.0,,,,0,,-9999,America/Sao_Paulo,2021-12-19,Ilhote Iporanga,Ilhote Praia Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123767,12387053,Ponta do Iporanga,Ponta do Iporanga,-23.90558,-46.14722,T,PT,BR,,27.0,,,,0,,-9999,America/Sao_Paulo,2021-12-19,Ponta do Iporanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123772,12387058,Ponta do Pôco,Ponta do Poco,-23.94552,-46.16136,T,PT,BR,,27.0,,,,0,,-9999,America/Sao_Paulo,2021-12-19,Ponta do Poco,Ponta do Pôco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
