Unnamed: 0,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66
80007,7537630,Ilha Baleias,Ilha Baleias,-23.04203,-43.5866,T,ISL,BR,,21.0,,,,0,,4,America/Sao_Paulo,2012-01-21,Ilha Baleias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80010,7537633,Saco dos Meros,Saco dos Meros,-23.07584,-43.56038,H,COVE,BR,,21.0,,,,0,,-9999,America/Sao_Paulo,2017-12-22,Saco dos Meros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80018,7537641,Rio João Correia,Rio Joao Correia,-23.05185,-43.56281,H,STM,BR,,21.0,,,,0,,3,America/Sao_Paulo,2012-01-21,Rio Joao Correia,Rio João Correia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80020,7537643,Canal da Varzinha,Canal da Varzinha,-23.05669,-43.56128,H,STM,BR,,21.0,,,,0,,5,America/Sao_Paulo,2012-01-21,Canal da Varzinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80429,7538053,Morro do Pontal de Sernambetiba,Morro do Pontal de Sernambetiba,-23.03417,-43.47009,T,HLL,BR,,21.0,3304557.0,,,0,120.0,22,America/Sao_Paulo,2012-08-03,Morro do Pontal de Sernambetiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80445,7538069,Ponta do Vieira,Ponta do Vieira,-22.98238,-43.38711,T,PT,BR,,21.0,3304557.0,,,0,,2,America/Sao_Paulo,2012-08-03,Ponta do Vieira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80449,7538073,Ponta da Cerca,Ponta da Cerca,-22.97873,-43.38188,T,PT,BR,,21.0,3304557.0,,,0,,2,America/Sao_Paulo,2012-08-03,Ponta da Cerca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80453,7538077,Ponta dos Bois,Ponta dos Bois,-22.9765,-43.37421,T,PT,BR,,21.0,3304557.0,,,0,,3,America/Sao_Paulo,2012-08-03,Ponta dos Bois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80653,7538277,Conjunto Missoes,Conjunto Missoes,-22.80524,-43.28303,P,PPLX,BR,,21.0,3301702.0,,,0,,5,America/Sao_Paulo,2012-08-03,Conjunto Missoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80866,7538492,Parque das Bromélias,Parque das Bromelias,-23.01079,-43.29766,L,PRK,BR,,21.0,,,,0,,6,America/Sao_Paulo,2012-01-21,Parque das Bromelias,Parque das Bromélias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80867,7538493,Clube Costa Brava,Clube Costa Brava,-23.01454,-43.28598,S,BLDG,BR,,21.0,3304557.0,,,0,,5,America/Sao_Paulo,2012-08-03,Clube Costa Brava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80870,7538496,Praia dos Amores,Praia dos Amores,-23.01471,-43.29924,T,BCH,BR,,21.0,3304557.0,,,0,,63,America/Sao_Paulo,2016-06-22,Praia dos Amores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80871,7538497,Quebra Mar,Quebra Mar,-23.01619,-43.2977,T,ISL,BR,,21.0,,,,0,,2,America/Sao_Paulo,2012-01-21,Quebra Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80878,7538504,Largo do Banco,Largo do Banco,-22.99891,-43.31633,H,BNK,BR,,21.0,,,,0,,0,America/Sao_Paulo,2012-01-21,Largo do Banco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80883,7538509,Barra Point,Barra Point,-23.00559,-43.30832,S,MKT,BR,,21.0,3304557.0,,,0,,9,America/Sao_Paulo,2012-08-03,Barra Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80884,7538510,Marina Barra Clube,Marina Barra Clube,-23.00364,-43.30628,S,RECG,BR,,21.0,3304557.0,,,0,,7,America/Sao_Paulo,2012-08-03,Marina Barra Clube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80885,7538511,Ilha Primeira,Ilha Primeira,-22.99938,-43.30895,T,ISL,BR,,21.0,,,,0,,7,America/Sao_Paulo,2012-01-21,Ilha Primeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80978,7538604,Pedra do Anel,Pedra do Anel,-22.96134,-43.16013,T,RK,BR,,21.0,,,,0,,6,America/Sao_Paulo,2016-07-05,Pedra do Anel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
