Unnamed: 0,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66
101997,7798438,Federal University of Rio de Janeiro,Federal University of Rio de Janeiro,-22.86285,-43.22884,S,UNIV,BR,,21.0,3304557.0,,,65000,0.0,12,America/Sao_Paulo,2012-08-03,Federal'nyj universitet Rio-de-Zhanejro,Federala Universitato de Rio de Janeiro,Federale Universiteit van Rio de Janeiro,Federalni Univerzitet Rio de Janeiro,Federalni Univerzitet Rio de Zhaneira,Rio de Janeiro Federal UEniversitesi,Rio de Janeiro Federal Üniversitesi,Rio de Janeiron liittovaltionyliopisto,Unibersidad Federal han Rio de Janeiro,Universidad Federal de Rio de Janeiro,Universidad Federal de Río de Janeiro,Universidade Federal do Rio de Janeiro,Universidade Federal do Rio de Xaneiro,Universidade Federal do Río de Xaneiro,Universita Federale di Rio de Janeiro,Universitas Federal Rio de Janeiro,Universitas Foederalis Fluminis Ianuarii,Universitat Federal de Rio de Janeiro,Universite federale de Rio de Janeiro,Università Federale di Rio de Janeiro,Université fédérale de Rio de Janeiro,li yue re nei lu lian bang da xue,riodejaneiro lian bang da xue,Федерални Универзитет Рио де Жанеира,Федеральный университет Рио-де-Жанейро,რიო-დე-ჟანეიროს ფედერალური უნივერსიტეტი,リオデジャネイロ連邦大学,里约热内卢联邦大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102105,7874587,Praia do Luz,Praia do Luz,-28.14678,-48.64506,T,BCH,BR,,26.0,,,,0,,-9999,America/Sao_Paulo,2011-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102106,7874589,Porto de Imbituba,Porto de Imbituba,-28.22727,-48.65313,L,PRT,BR,,26.0,,,,0,,-9999,America/Sao_Paulo,2020-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102149,8051236,Porto da Barra,Porto da Barra,-13.00958,-38.52785,T,BCH,BR,,5.0,2927408.0,,,0,,9,America/Bahia,2016-06-22,Porto da Barra Beach,Praia do Porto da Barra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102321,8304806,Cidade Universitária,Cidade Universitaria,-22.85682,-43.22664,P,PPL,BR,,21.0,3304557.0,,,0,,7,America/Sao_Paulo,2012-08-03,Cidade Universitaria,Cidade Universitária,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102326,8304811,Ribeira,Ribeira,-22.82296,-43.1672,P,PPL,BR,,21.0,3304557.0,,,0,,8,America/Sao_Paulo,2012-08-03,Ribeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102327,8304812,Pitangueiras,Pitangueiras,-22.81744,-43.17976,P,PPL,BR,,21.0,3304557.0,,,0,,44,America/Sao_Paulo,2012-08-03,Pitangueiras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102328,8304813,Praia da Bandeira,Praia da Bandeira,-22.81027,-43.18064,P,PPL,BR,,21.0,3304557.0,,,0,,54,America/Sao_Paulo,2012-08-03,Praia da Bandeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102329,8304814,Bananal,Bananal,-22.78879,-43.1636,P,PPLX,BR,,21.0,3304557.0,,,0,,9,America/Sao_Paulo,2012-08-03,Bananal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102330,8304815,Dendê,Dende,-22.80067,-43.18585,P,PPLX,BR,,21.0,3304557.0,,,0,,41,America/Sao_Paulo,2012-08-03,Dende,Dendê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
