Unnamed: 0,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66
0,3375720,Tawaribar Rapids,Tawaribar Rapids,2.66667,-59.96667,H,RPDS,BR,GY,0.0,,,,0,,103,America/Guyana,2014-03-07,Tawaribar Rapids,Tawiribar,Tawiribar Fall,Tawiribar Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3377287,Machpawa Falls,Machpawa Falls,2.9,-59.95,H,FLLS,BR,GY,0.0,,,,0,,103,America/Guyana,2014-03-07,Maca-pawa,Machpawa Fall,Machpawa Falls,Mais Pau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3377723,Kulutuik Fall,Kulutuik Fall,5.08333,-59.96667,H,FLLS,BR,GY,0.0,,,,0,,686,America/Guyana,2014-03-07,Kulutuik Fall,Kurutuik Fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3377733,Kukuipawa Falls,Kukuipawa Falls,2.82548,-59.95024,H,FLLS,BR,GY,0.0,,,,0,,103,America/Guyana,2014-03-07,Kukui-pau,Kukui-pawa,Kukuipaw Falls,Kukuipawa Falls,Kukuipow Falls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3377883,Kenukawai Mountain,Kenukawai Mountain,1.46667,-58.43333,T,MT,BR,GY,0.0,,,,0,,557,America/Guyana,2014-03-07,Kenukawai,Kenukawai Mountain,Mount Kenukawai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3377910,Kassuwau Fall,Kassuwau Fall,1.98333,-59.73333,H,FLLS,BR,GY,0.0,,,,0,,211,America/Guyana,2014-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3377932,Kariwapawa Fall,Kariwapawa Fall,2.98333,-59.95,H,FLLS,BR,GY,0.0,,,,0,,93,America/Guyana,2014-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3377964,Karaparu Rapid,Karaparu Rapid,4.4,-59.68333,H,RPDS,BR,GY,0.0,,,,0,,418,America/Guyana,2014-03-07,Karaparu Rapid,Karaparu Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3378003,Kanawa Rapid,Kanawa Rapid,4.41667,-59.7,H,RPDS,BR,GY,0.0,,,,0,,417,America/Guyana,2014-03-07,Kanawa,Kanawa Rapid,Kanawa Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3380231,Tamanwayapa Itou,Tamanwayapa Itou,2.29216,-52.82745,H,FLLS,BR,GF,0.0,,,,0,,130,America/Belem,2015-07-03,Saut Tamanouayapa,Saut Yaouapa,Saut Yawapa,Tamanwayapa Itou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
