90016,7691686,Rio do Cedro,Rio do Cedro,-25.3876,-48.6645,H,STM,BR,,18.0,,,,0,,6,America/Sao_Paulo,2012-01-21,Rio do Cedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90017,7691687,Rio Roseira,Rio Roseira,-25.4189,-48.5461,H,STM,BR,,18.0,,,,0,,175,America/Sao_Paulo,2012-01-21,Rio Roseira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90018,7691688,Serra da Custódia,Serra da Custodia,-25.4014,-48.563,T,MTS,BR,,18.0,,,,0,910.0,872,America/Sao_Paulo,2012-01-21,Serra da Custodia,Serra da Custódia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90019,7691689,Rio Itimirim,Rio Itimirim,-25.4534,-48.5369,H,STM,BR,,18.0,,,,0,,6,America/Sao_Paulo,2012-01-21,Rio Itimirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90020,7691690,Fazenda Dirceu,Fazenda Dirceu,-25.4202,-48.5136,S,FRM,BR,,18.0,4118204.0,,,0,,18,America/Sao_Paulo,2012-08-03,Fazenda Dirceu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90021,7691691,Itinga,Itinga,-25.42768,-48.51946,P,PPLL,BR,,18.0,4118204.0,,,0,,18,America/Sao_Paulo,2012-08-03,Itinga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90022,7691692,Rio Moreira,Rio Moreira,-25.4425,-48.5222,H,STM,BR,,18.0,,,,0,,6,America/Sao_Paulo,2012-01-21,Rio Moreira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90023,7691693,Rio Buquerinha,Rio Buquerinha,-25.4534,-48.5572,H,STM,BR,,18.0,,,,0,,7,America/Sao_Paulo,2012-01-21,Rio Buquerinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90024,7691695,Rio Jabaquara,Rio Jabaquara,-25.4523,-48.5954,H,STM,BR,,18.0,,,,0,,15,America/Sao_Paulo,2012-01-21,Rio Jabaquara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90025,7691696,Europinha,Europinha,-25.4538,-48.6048,L,LCTY,BR,,18.0,,,,0,,12,America/Sao_Paulo,2012-01-21,Europinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90026,7691697,Ponta da Tapera,Ponta da Tapera,-25.4588,-48.6045,T,PT,BR,,18.0,4118204.0,,,0,,-9999,America/Sao_Paulo,2012-08-03,Ponta da Tapera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90027,7691699,Rio Itinguçu,Rio Itingucu,-25.4519,-48.528,H,STM,BR,,18.0,,,,0,,2,America/Sao_Paulo,2012-01-21,Rio Itingucu,Rio Itinguçu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90028,7691700,Rio Buquera Grande,Rio Buquera Grande,-25.4522,-48.515,H,STM,BR,,18.0,,,,0,,6,America/Sao_Paulo,2012-01-21,Rio Buquera Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90029,7691701,Ponta do Pasto,Ponta do Pasto,-25.4642,-48.5634,T,PT,BR,,18.0,4118204.0,,,0,,6,America/Sao_Paulo,2012-08-03,Ponta do Pasto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90030,7691703,Ilhas do Lamin,Ilhas do Lamin,-25.4699,-48.5712,T,ISLS,BR,,18.0,,,,0,,15,America/Sao_Paulo,2012-01-21,Ilhas do Lamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90031,7691704,Eufrasina,Eufrasina,-25.4599,-48.5761,P,PPL,BR,,18.0,4118204.0,,,0,,47,America/Sao_Paulo,2012-08-03,Eufrasina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
