40000,3457989,Laje de Mangaratiba,Laje de Mangaratiba,-23.01205,-44.07714,T,RK,BR,,21.0,,,,0,,-9999,America/Sao_Paulo,2018-11-06,Laje de Mangaratiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40001,3457990,Baía de Mangaratiba,Baia de Mangaratiba,-22.9551,-44.0583,H,BAY,BR,,21.0,,,,0,,-9999,America/Sao_Paulo,2012-01-19,Baia de Mangaratiba,Baía de Mangaratiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40002,3457991,Mangaratiba,Mangaratiba,-22.95972,-44.04056,P,PPL,BR,,21.0,3302601.0,,,27022,,21,America/Sao_Paulo,2012-08-03,Mangalatiba,Mangaratiba,man jia la di ba,mangaratiba,Мангаратиба,মাঙ্গারাটিবা,曼加拉蒂巴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40003,3457992,Mangaraí,Mangarai,-20.16667,-40.49056,P,PPLL,BR,,8.0,3204500.0,,,0,,30,America/Sao_Paulo,2012-08-03,Magarai,Magaraí,Mangarahy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40004,3457993,Córrego Mulungu,Corrego Mulungu,-15.68552,-43.09419,H,STM,BR,,15.0,,,,0,,537,America/Sao_Paulo,2020-03-09,Corrego Mulungu,Córrego Mulungu,Ribeirao Manganga,Ribeirão Mangangá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40005,3457994,Mangalô,Mangalo,-17.7,-41.01667,S,RSTP,BR,,15.0,3113701.0,,,0,,184,America/Bahia,2012-12-05,Mangalo,Mangalô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40006,3457995,Mangalô,Mangalo,-12.15,-38.46667,P,PPL,BR,,5.0,2900702.0,,,0,,175,America/Bahia,2012-08-03,Mangalo,Mangalô,Mangola,Mangolã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40007,3457996,Ribeirão Mangaí,Ribeirao Mangai,-15.81667,-44.48333,H,STM,BR,,15.0,,,,0,,484,America/Bahia,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40008,3457997,Ilha de Mangaí,Ilha de Mangai,-12.73333,-43.28333,T,ISL,BR,,5.0,,,,0,,423,America/Bahia,2018-12-05,Ilha de Mangai,Ilha de Mangaí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40009,3457998,Mangaí,Mangai,-23.23333,-55.45,P,PPL,BR,,11.0,5003157.0,,,0,,501,America/Campo_Grande,2020-06-11,Mandani,Mangai,Mangaí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40010,3457999,Córrego Mangada,Corrego Mangada,-17.16667,-48.63333,H,STM,BR,,29.0,,,,0,,742,America/Sao_Paulo,2012-01-19,Corrego Mangabal,Corrego Mangada,Córrego Mangabal,Córrego Mangada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40011,3458000,Chapada das Mangabeiras,Chapada das Mangabeiras,-10.33551,-45.73114,T,UPLD,BR,,0.0,,,,0,,787,America/Bahia,2013-03-05,Chapada da Mangabeira,Chapada das Mangabeiras,Serra das Magabeiras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40012,3458001,Serra da Mangabeira,Serra da Mangabeira,-12.5,-42.25,T,MTS,BR,,5.0,,,,0,,878,America/Bahia,2018-12-05,Serra da Mangabeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
