,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66
100000,7776287,Chácara Tarcísio M. dos Santos,Chacara Tarcisio M. dos Santos,-23.5365,-49.9244,S,FRM,BR,,18.0,4112801.0,,,0,,692,America/Sao_Paulo,2012-08-03,Chacara Tarcisio M. dos Santos,Chácara Tarcísio M. dos Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100001,7776288,Sítio Geraldo Martins,Sitio Geraldo Martins,-23.5313,-49.9292,P,PPL,BR,,18.0,4112801.0,,,0,,658,America/Sao_Paulo,2012-08-03,Sitio Geraldo Martins,Sítio Geraldo Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100002,7776289,Sítio das Oliveiras,Sitio das Oliveiras,-23.5339,-49.9212,P,PPL,BR,,18.0,4112801.0,,,0,,653,America/Sao_Paulo,2012-08-03,Sitio das Oliveiras,Sítio das Oliveiras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100003,7776290,Sítio São Pedro,Sitio Sao Pedro,-23.552,-49.9328,P,PPL,BR,,18.0,4120705.0,,,0,,690,America/Sao_Paulo,2012-08-03,Sitio Sao Pedro,Sítio São Pedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100004,7776291,Sítio São João,Sitio Sao Joao,-23.5573,-49.9264,P,PPL,BR,,18.0,4120705.0,,,0,,699,America/Sao_Paulo,2012-08-03,Sitio Sao Joao,Sítio São João,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100005,7776292,Chácara Jabuticabal,Chacara Jabuticabal,-23.5592,-49.9244,S,FRM,BR,,18.0,4120705.0,,,0,,704,America/Sao_Paulo,2012-08-03,Chacara Jabuticabal,Chácara Jabuticabal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100006,7776293,Sítio Bondarak,Sitio Bondarak,-23.5587,-49.9502,P,PPL,BR,,18.0,4120705.0,,,0,,548,America/Sao_Paulo,2012-08-03,Sitio Bondarak,Sítio Bondarak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100007,7776294,Sítio Vitório Sustak,Sitio Vitorio Sustak,-23.5552,-49.9624,P,PPL,BR,,18.0,4120705.0,,,0,,558,America/Sao_Paulo,2012-08-03,Sitio Vitorio Sustak,Sítio Vitório Sustak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100008,7776295,Fazenda Moquém,Fazenda Moquem,-23.5536,-49.9561,S,FRM,BR,,18.0,4120705.0,,,0,,564,America/Sao_Paulo,2012-08-03,Fazenda Moquem,Fazenda Moquém,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100009,7776296,Sítio Francisco Gusmão,Sitio Francisco Gusmao,-23.5474,-49.9398,P,PPL,BR,,18.0,4120705.0,,,0,,653,America/Sao_Paulo,2012-08-03,Sitio Francisco Gusmao,Sítio Francisco Gusmão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
