,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66
50000,3468005,Rio Camararé,Rio Camarare,-12.2467,-58.91349,H,STM,BR,,14.0,,,,0,,287,America/Cuiaba,2021-08-24,Camarare River,Camararé River,Rio Camarare,Rio Camararé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50001,3468006,Córrego Camarão,Corrego Camarao,-16.86667,-49.96667,H,STM,BR,,29.0,,,,0,,588,America/Sao_Paulo,2012-01-19,Corrego Camarao,Córrego Camarão,Ribeirao Camarao,Ribeirão Camarão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50002,3468007,Câmara,Camara,-21.4,-41.38333,P,PPL,BR,,21.0,3301009.0,,,0,,96,America/Sao_Paulo,2012-12-05,Camara,Câmara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50003,3468008,Camará,Camara,-20.89694,-41.27,P,PPLL,BR,,8.0,3203809.0,,,0,,208,America/Sao_Paulo,2012-08-03,Sao-Gabriel,São-Gabriel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50004,3468009,Camará,Camara,-12.58333,-38.48333,P,PPL,BR,,5.0,2929503.0,,,0,,47,America/Bahia,2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50005,3468010,Arroio Camaquã de Lavras do Sul,Arroio Camaqua de Lavras do Sul,-30.8,-53.71667,H,STM,BR,,23.0,,,,0,,163,America/Sao_Paulo,2012-01-19,Arroio Camaqua,Arroio Camaqua de Lavras,Arroio Camaqua de Lavras do Sul,Arroio Camaquã,Arroio Camaquã de Lavras,Arroio Camaquã de Lavras do Sul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50006,3468011,Arroio Camaquã Chico,Arroio Camaqua Chico,-31.05,-54.0,H,STM,BR,,23.0,,,,0,,266,America/Sao_Paulo,2020-06-11,Arroio Camaqua Chico,Arroio Camaquam Chico,Arroio Camaquã Chico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50007,3468012,Rio Camaquã,Rio Camaqua,-31.28333,-51.78333,H,STM,BR,,23.0,,,,0,,-9999,America/Sao_Paulo,2021-08-09,Camaqua River,Camaquã River,Rio Camaqua,Rio Camaqua Chico,Rio Camaquam,Rio Camaquan,Rio Camaquã,Rio Camaquã Chico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50008,3468013,Camacuã,Camacua,-22.35552,-47.65789,S,RSTPQ,BR,,27.0,3543907.0,,,0,,677,America/Sao_Paulo,2018-11-06,Camacua,Camacuã,Camaqua,Camaquã,Parada Camacua,Parada Camacuã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50009,3468014,Camaquã,Camaqua,-30.85111,-51.81222,P,PPL,BR,,23.0,4303509.0,,,53169,,39,America/Sao_Paulo,2012-08-03,Sao Joao de Camaquam,São João de Camaquam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50010,3468015,Serra Camapuã,Serra Camapua,-16.28333,-49.7,T,RDGE,BR,,29.0,,,,0,,790,America/Sao_Paulo,2013-02-09,Serra Camapua,Serra Camapuã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50011,3468016,Rio Camapuã,Rio Camapua,-21.38333,-41.0,H,STM,BR,,21.0,,,,0,,3,America/Sao_Paulo,2012-12-05,Rio Camapua,Rio Camapuã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50012,3468017,Rio Camapuã,Rio Camapua,-20.53333,-43.98333,H,STM,BR,,15.0,,,,0,,862,America/Sao_Paulo,2012-12-05,Rio Camapua,Rio Camapuã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50013,3468018,Rio Camapuã,Rio Camapua,-19.28333,-54.21667,H,STM,BR,,11.0,,,,0,,323,America/Campo_Grande,2020-06-11,Rio Camapo,Rio Camapoan,Rio Camapua,Rio Camapua-Guacu,Rio Camapuan-guassu,Rio Camapuan-guassú,Rio Camapuã,Rio Camapuã-Guaçu,Rio Camaquan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50014,3468019,Barra de Camapuã,Barra de Camapua,-21.4,-41.0,H,INLT,BR,,21.0,,,,0,,8,America/Sao_Paulo,2020-06-11,Barra Camapuan,Barra de Camapua,Barra de Camapuã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
