,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52
3275,3663663,Liberdade,Liberdade,-25.899,-6.741.195,P,PPL,BR,,4,1304237.0,,,0,,64,America/Manaus,07/10/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3276,3663664,Libanesa,Libanesa,-381.635,-6.211.394,P,PPL,BR,,4,1301308.0,,,0,,35,America/Manaus,04/04/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3277,3663665,Cachoeira Lava-Cara,Cachoeira Lava-Cara,-8.9,-6.216.667,H,FLLS,BR,,24,,,,0,,98,America/Porto_Velho,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3278,3663666,Serra Laranjal,Serra Laranjal,-0.43333,-6.483.333,T,HLL,BR,,4,1303601.0,,,0,,61,America/Boa_Vista,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3279,3663667,Laranjal,Laranjal,-616.667,-6.181.667,P,PPL,BR,,4,1301704.0,,,0,,50,America/Manaus,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3280,3663668,Laranjal,Laranjal,-547.944,-6.294.722,P,PPL,BR,,4,1304104.0,,,0,,66,America/Manaus,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3281,3663669,Laranjal,Laranjal,-3.9,-6.341.667,P,PPL,BR,BR,4,1301209.0,,,0,,20,America/Manaus,03/08/2012,Laranja,Laranjal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3282,3663670,Laranjal,Laranjal,-0.45,-64.85,P,PPL,BR,,4,1303601.0,,,0,,54,America/Manaus,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3283,3663671,La Paz,La Paz,-9.75,-6.586.667,P,PPL,BR,,24,1100205.0,,,0,,133,America/Porto_Velho,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3284,3663672,Igarapé Lancha,Igarape Lancha,-9.5,-70.65,H,STM,BR,,1,,,,0,,214,America/Rio_Branco,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3285,3663673,Igarapé Lamado,Igarape Lamado,-813.333,-71.25,H,STM,BR,,1,,,,0,,269,America/Eirunepe,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
