geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername120,othername130,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55
3391417,Riacho Porteiras,Riacho Porteiras,,-753.333,-3.903.333,H,STMI,BR,,6,,,,0,,475,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391418,Porteiras,Porteiras,,-759.509,-3.907.443,A,ADM2,BR,,6,2311108.0,,,14958,,462,America/Maceio,07/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391419,Porteiras,Porteiras,,-828.333,-3.773.333,P,PPL,BR,,30,2605103.0,,,0,,490,America/Recife,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391420,Porteiras,Porteiras,Conceicao do Cariri$Conceição do Cariri,-753.472,-3.911.833,P,PPL,BR,BR,6,2311108.0,,,0,,521,America/Fortaleza,03/08/2012,Conceicao do Cariri,Conceição do Cariri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391421,Porteiras,Porteiras,,-488.333,-41.45,P,PPL,BR,,20,2205516.0,,,0,,189,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391422,Porteiras,Porteiras,,-3.35,-3.941.667,P,PPL,BR,,6,2313500.0,,,0,,55,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391423,Cachoeira da Porteira,Cachoeira da Porteira,,-9.9,-58.2,H,FLLS,BR,,14,,,,0,,212,America/Porto_Velho,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391424,Cachoeira Porteira,Cachoeira Porteira,Cachoeira Lidstone$Cachoeira Porteira,-108.333,-5.703.333,H,FLLS,BR,BR,16,,,,0,,83,America/Manaus,19/01/2012,Cachoeira Lidstone,Cachoeira Porteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391425,Porteira,Porteira,,-798.333,-36.9,P,PPL,BR,,17,2503902.0,,,0,,613,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391426,Porteira,Porteira,,-7.95,-3.828.333,P,PPL,BR,,30,2613909.0,,,0,,523,America/Recife,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391427,Porteira,Porteira,,-766.667,-3.643.333,P,PPL,BR,,17,2513943.0,,,0,,461,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391428,Porteira,Porteira,,-463.333,-37.8,P,PPL,BR,,6,2301109.0,,,0,,10,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391429,Porteira,Porteira,,-107.934,-5.704.672,P,PPL,BR,,16,1505304.0,,,0,,28,America/Santarem,23/10/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391430,Açude Portat,Acude Portat,,-518.333,-4.058.333,H,RSV,BR,,6,,,,0,,290,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391431,Riacho Portaria,Riacho Portaria,,-966.667,-3.801.667,H,STMI,BR,,5,,,,0,,231,America/Maceio,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391432,Cachoeira Portão de Cima,Cachoeira Portao de Cima,Cachoeira Portao de Cima$Cachoeira Portão de Cima,-5.95,-55.7,H,FLLS,BR,,16,,,,0,,176,America/Manaus,09/03/2020,Cachoeira Portao de Cima,Cachoeira Portão de Cima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391433,Cachoeira Portão de Baixo,Cachoeira Portao de Baixo,Cachoeira Portao da Baixa$Cachoeira Portao de Baixo$Cachoeira Portão da Baixa$Cachoeira Portão de Baixo,-563.333,-5.578.333,H,FLLS,BR,BR,16,,,,0,,207,America/Manaus,19/01/2012,Cachoeira Portao da Baixa,Cachoeira Portao de Baixo,Cachoeira Portão da Baixa,Cachoeira Portão de Baixo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391434,Enseada do Portão,Enseada do Portao,,-387.367,-3.246.739,H,BAY,BR,,30,,,,0,,1,America/Noronha,12/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391435,Cachoeira Portão,Cachoeira Portao,Cachoeira Portao$Cachoeira Portão,-5.65,-5.578.333,H,FLLS,BR,,16,,,,0,,213,America/Manaus,09/03/2020,Cachoeira Portao,Cachoeira Portão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391436,Cachoeira Portão,Cachoeira Portao,,-278.333,-5.428.333,H,FLLS,BR,,16,,,,0,,43,America/Manaus,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
