geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername120,othername130,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55
3375720,Tawaribar Rapids,Tawaribar Rapids,Tawaribar Rapids$Tawiribar$Tawiribar Fall$Tawiribar Rapids,266.667,-5.996.667,H,RPDS,BR,GY,0,,,,0,,103,America/Guyana,07/03/2014,Tawaribar Rapids,Tawiribar,Tawiribar Fall,Tawiribar Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377287,Machpawa Falls,Machpawa Falls,Maca-pawa$Machpawa Fall$Machpawa Falls$Mais Pau,2.9,-59.95,H,FLLS,BR,GY,0,,,,0,,103,America/Guyana,07/03/2014,Maca-pawa,Machpawa Fall,Machpawa Falls,Mais Pau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377723,Kulutuik Fall,Kulutuik Fall,Kulutuik Fall$Kurutuik Fall,508.333,-5.996.667,H,FLLS,BR,GY,0,,,,0,,686,America/Guyana,07/03/2014,Kulutuik Fall,Kurutuik Fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377733,Kukuipawa Falls,Kukuipawa Falls,Kukui-pau$Kukui-pawa$Kukuipaw Falls$Kukuipawa Falls$Kukuipow Falls,282.548,-5.995.024,H,FLLS,BR,GY,0,,,,0,,103,America/Guyana,07/03/2014,Kukui-pau,Kukui-pawa,Kukuipaw Falls,Kukuipawa Falls,Kukuipow Falls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377883,Kenukawai Mountain,Kenukawai Mountain,Kenukawai$Kenukawai Mountain$Mount Kenukawai,146.667,-5.843.333,T,MT,BR,GY,0,,,,0,,557,America/Guyana,07/03/2014,Kenukawai,Kenukawai Mountain,Mount Kenukawai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377910,Kassuwau Fall,Kassuwau Fall,,198.333,-5.973.333,H,FLLS,BR,GY,0,,,,0,,211,America/Guyana,07/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377932,Kariwapawa Fall,Kariwapawa Fall,,298.333,-59.95,H,FLLS,BR,GY,0,,,,0,,93,America/Guyana,07/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377964,Karaparu Rapid,Karaparu Rapid,Karaparu Rapid$Karaparu Rapids,4.4,-5.968.333,H,RPDS,BR,GY,0,,,,0,,418,America/Guyana,07/03/2014,Karaparu Rapid,Karaparu Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3378003,Kanawa Rapid,Kanawa Rapid,Kanawa$Kanawa Rapid$Kanawa Rapids,441.667,-59.7,H,RPDS,BR,GY,0,,,,0,,417,America/Guyana,07/03/2014,Kanawa,Kanawa Rapid,Kanawa Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380043,Cachoeira Acaraiou,Cachoeira Acaraiou,Cachoeira Acaraiou$Saut Cuacarayau$Saut Cuaracayau$Saut Ouacarayau$Saut Ouacarayou$Sauts Wakarayou,323.079,-5.228.321,H,FLLS,BR,,0,,,,0,,57,America/Cayenne,03/07/2015,Cachoeira Acaraiou,Saut Cuacarayau,Saut Cuaracayau,Saut Ouacarayau,Saut Ouacarayou,Sauts Wakarayou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380047,Cachoeira Ouaouarou,Cachoeira Ouaouarou,Cachoeira Ouaouarou$Cachoeira Quaouaru$Saut Ouayeouarou$Sauts Waiwarou$Sauts Waïwarou,333.922,-5.217.164,H,FLLS,BR,,0,,,,0,,51,America/Cayenne,03/07/2015,Cachoeira Ouaouarou,Cachoeira Quaouaru,Saut Ouayeouarou,Sauts Waiwarou,Sauts Waïwarou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380122,Os Treis Saltos,Os Treis Saltos,Les Trois Sauts$Os Treis Saltos$Trois Sauts,224.422,-5.287.317,H,FLLS,BR,,0,,,,0,,138,America/Belem,03/07/2015,Les Trois Sauts,Os Treis Saltos,Trois Sauts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380172,Îlets Toïlopiké,Ilets Toilopike,Ilet Toilopique$Ilet Toïlopiqué$Ilets Tailopique$Ilets Toilopike$Ilets Toilopique$Îlets Taïlopiqué$Îlets Toïlopiké$Îlets Toïlopiqué,338.091,-5.214.649,T,ISLS,BR,GF,0,,,,0,,49,America/Belem,03/07/2015,Ilet Toilopique,Ilet Toïlopiqué,Ilets Tailopique,Ilets Toilopike,Ilets Toilopique,Îlets Taïlopiqué,Îlets Toïlopiké,Îlets Toïlopiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380227,Tamoussiyapa Itou,Tamoussiyapa Itou,Cachoeira Samaciapa$Cachoeira Samaciapá$Saut Komanciapa$Saut Tamasiapa$Tamoussiyapa Itou,292.477,-5.239.391,H,FLLS,BR,,0,,,,0,,83,America/Belem,03/07/2015,Cachoeira Samaciapa,Cachoeira Samaciapá,Saut Komanciapa,Saut Tamasiapa,Tamoussiyapa Itou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380231,Tamanwayapa Itou,Tamanwayapa Itou,Saut Tamanouayapa$Saut Yaouapa$Saut Yawapa$Tamanwayapa Itou,229.216,-5.282.745,H,FLLS,BR,GF,0,,,,0,,130,America/Belem,03/07/2015,Saut Tamanouayapa,Saut Yaouapa,Saut Yawapa,Tamanwayapa Itou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380237,Taléouwayatou Itou,Taleouwayatou Itou,Rapide Tale Ito Ayatou$Rapide Talé Ito Ayatou$Taleouwayatou Itou$Taléouwayatou Itou$Tare eu Wai-atou$Taré eu Waï-atou,285.831,-524.387,H,RPDS,BR,GF,0,,,,0,,79,America/Belem,03/07/2015,Rapide Tale Ito Ayatou,Rapide Talé Ito Ayatou,Taleouwayatou Itou,Taléouwayatou Itou,Tare eu Wai-atou,Taré eu Waï-atou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380354,Cachoeira Trasapa,Cachoeira Trasapa,Cachoeira Irasapa$Cachoeira Trasapa$Itou Sanseng$Sansen Itou$Saut Eutou Sansen$Saut Itou Sansen$Saut Itoussansein$Saut Toussassagne,218.896,-5.292.595,H,FLLS,BR,,0,,,,0,,156,America/Belem,03/07/2015,Cachoeira Irasapa,Cachoeira Trasapa,Itou Sanseng,Sansen Itou,Saut Eutou Sansen,Saut Itou Sansen,Saut Itoussansein,Saut Toussassagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380374,Pointe Saint-Paul,Pointe Saint-Paul,Pointe Saint-Paul,351.896,-5.205.956,H,STMB,BR,GF,0,,,,0,,61,America/Cayenne,03/07/2015,Pointe Saint-Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380410,Pointe Sainte-Marie,Pointe Sainte-Marie,Pointe Sainte-Marie,311.917,-5.233.814,H,STMB,BR,GF,0,,,,0,,70,America/Cayenne,03/07/2015,Pointe Sainte-Marie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380625,Saut Petit Massala,Saut Petit Massala,Cachoeira Piararusa$Cachoeira Piararusá$Saut Petit Masara$Saut Petit Massala$Saut Petit Massera$Saut Petit Masséra,265.268,-5.254.268,H,FLLS,BR,,0,,,,0,,115,America/Cayenne,03/07/2015,Cachoeira Piararusa,Cachoeira Piararusá,Saut Petit Masara,Saut Petit Massala,Saut Petit Massera,Saut Petit Masséra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380637,Saut Petit Koumouri,Saut Petit Koumouri,,2.6,-5.253.333,H,RPDS,BR,GF,0,,,,0,,114,America/Cayenne,07/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380732,Parcours Noir,Parcours Noir,,341.667,-5.213.333,H,RCH,BR,GF,0,,,,0,,92,America/Cayenne,07/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380747,Panakoupelou Itou,Panakoupelou Itou,Panakoupelou Itou,264.422,-5.255.186,H,RPDS,BR,GF,0,,,,0,,88,America/Belem,03/07/2015,Panakoupelou Itou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380756,Palanga Itou,Palanga Itou,Cachoeira Paranga$Cachoeira Parangá$Palanga Itou$Saut Pananga$Saut Sinacouparangaoue$Saut Sinacouparangaoué,241.676,-5.264.509,H,FLLS,BR,,0,,,,0,,128,America/Belem,03/07/2015,Cachoeira Paranga,Cachoeira Parangá,Palanga Itou,Saut Pananga,Saut Sinacouparangaoue,Saut Sinacouparangaoué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380757,Pakwétan Itou,Pakwetan Itou,Pakwetan Itou$Pakwétan Itou$Saut Pakouetam$Saut Pakouétam,233.535,-5.273.926,H,RPDS,BR,GF,0,,,,0,,135,America/Santarem,03/07/2015,Pakwetan Itou,Pakwétan Itou,Saut Pakouetam,Saut Pakouétam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380759,Pakoussili Itou,Pakoussili Itou,Pakoussili Itou$Saut Pacouciri$Saut Pakousiri$Saut Pakoussili,226.151,-5.285.794,H,FLLS,BR,GF,0,,,,0,,131,America/Santarem,03/07/2015,Pakoussili Itou,Saut Pacouciri,Saut Pakousiri,Saut Pakoussili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380760,Saut Pakouétam,Saut Pakouetam,,218.333,-5.293.333,H,RPDS,BR,GF,0,,,,0,,161,America/Cayenne,07/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380779,Baie de l'Oyapok,Baie de l'Oyapok,Baia de Oyapok$Baia do Oiapoque$Baie d'Oyapock$Baie de Oiapoque$Baie de l'Oyapock$Baie de l'Oyapok$Baie de l’Oyapock$Baie d’Oyapock$Bay of Oyapoc$Baía de Oyapok$Baía do Oiapoque$Oyapock Bay,437.859,-5.163.822,H,ESTY,BR,,0,,,,0,,-9999,America/Cayenne,03/12/2019,Baia de Oyapok,Baia do Oiapoque,Baie d'Oyapock,Baie de Oiapoque,Baie de l'Oyapock,Baie de l'Oyapok,Baie de l’Oyapock,Baie d’Oyapock,Bay of Oyapoc,Baía de Oyapok,Baía do Oiapoque,Oyapock Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380788,Oulwa Itou,Oulwa Itou,Oulwa Itou$Ouroua$Ourouwa Itou,244.391,-5.262.709,H,RPDS,BR,GF,0,,,,0,,109,America/Belem,03/07/2015,Oulwa Itou,Ouroua,Ourouwa Itou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380859,Moutoussi Itou,Moutoussi Itou,Moutoussi Itou$Saut Moutouchy$Saut Moutouci,243.896,-5.263.777,H,FLLS,BR,GF,0,,,,0,,118,America/Belem,03/07/2015,Moutoussi Itou,Saut Moutouchy,Saut Moutouci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380865,Moulouwa Itou,Moulouwa Itou,Moulouwa Itou,29.389,-5.239.041,H,RPDS,BR,GF,0,,,,0,,79,America/Belem,03/07/2015,Moulouwa Itou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380903,Mongou Itou,Mongou Itou,Mongou Itou,234.346,-5.271.908,H,RPDS,BR,GF,0,,,,0,,131,America/Belem,03/07/2015,Mongou Itou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380927,Massif du Mitaraka,Massif du Mitaraka,Massif du Mitaraca$Massif du Mitaraka$Mitaraka$Mont Mitaraca,226.932,-5.447.739,T,MTS,BR,,0,,,,0,,430,America/Cayenne,07/08/2015,Massif du Mitaraca,Massif du Mitaraka,Mitaraka,Mont Mitaraca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380949,Îlet Mémora,Ilet Memora,Ilet Memora$Ilets Memora$Îlet Mémora$Îlets Mémora,330.989,-521.918,T,ISLS,BR,GF,0,,,,0,,54,America/Cayenne,03/07/2015,Ilet Memora,Ilets Memora,Îlet Mémora,Îlets Mémora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380969,Matino Kangue,Matino Kangue,Matino Kangue$Matino Konged Ito,2.95,-5.238.333,H,RPDS,BR,GF,0,,,,0,,79,America/Cayenne,07/03/2014,Matino Kangue,Matino Konged Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380980,Saut Massakaetam,Saut Massakaetam,,378.333,-51.9,H,RPDS,BR,GF,0,,,,0,,13,America/Cayenne,07/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381026,Manoa Itou,Manoa Itou,Cachoeira Manana$Cachoeira Mananá$Cachoeira Manaua$Cachoeira Manauá$Manoa Itou$Saut Manoa,236.894,-526.775,H,FLLS,BR,,0,,,,0,,134,America/Belem,03/07/2015,Cachoeira Manana,Cachoeira Mananá,Cachoeira Manaua,Cachoeira Manauá,Manoa Itou,Saut Manoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381289,Kwaman Tapélé Itou,Kwaman Tapele Itou,Kwaman Tapele Itou$Kwaman Tapere$Kwaman Tapélé Itou$Kwaman Tapéré$Saut Kouamantapere$Saut Kouamantapéré$Saut Kouamautapere$Saut Kouamautaperé$Saut Kwaman Tapere$Saut Kwaman Tapére,255.031,-5.255.949,H,FLLS,BR,GF,0,,,,0,,115,America/Santarem,03/07/2015,Kwaman Tapele Itou,Kwaman Tapere,Kwaman Tapélé Itou,Kwaman Tapéré,Saut Kouamantapere,Saut Kouamantapéré,Saut Kouamautapere,Saut Kouamautaperé,Saut Kwaman Tapere,Saut Kwaman Tapére,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381292,Cachoeira Acouiari,Cachoeira Acouiari,Cachoeira Acouiari$Kouyari Itou$Saut Couyari$Saut Couyary$Saut Kouyari,268.261,-5.252.028,H,FLLS,BR,,0,,,,0,,98,America/Belem,03/07/2015,Cachoeira Acouiari,Kouyari Itou,Saut Couyari,Saut Couyary,Saut Kouyari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381315,Koumalawa Itou,Koumalawa Itou,Cachoeira Cumalaua$Cachoeira Cumalauá$Koumalawa Itou$Saut Cournaoua$Saut Koumaloua,257.368,-5.253.406,H,FLLS,BR,,0,,,,0,,111,America/Belem,03/07/2015,Cachoeira Cumalaua,Cachoeira Cumalauá,Koumalawa Itou,Saut Cournaoua,Saut Koumaloua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381316,Cachoeira Camaraua,Cachoeira Camaraua,Cachoeira Camaraua$Saut Goumaraoua$Sauts Coumalaoua$Sauts Koumalawa,313.333,-5.233.333,H,FLLS,BR,,0,,,,0,,105,America/Cayenne,03/07/2015,Cachoeira Camaraua,Saut Goumaraoua,Sauts Coumalaoua,Sauts Koumalawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381319,Kouloumouli Itou,Kouloumouli Itou,Kouloumouli Itou$Kouroumouri Itou,240.476,-5.265.526,H,RPDS,BR,GF,0,,,,0,,134,America/Belem,03/07/2015,Kouloumouli Itou,Kouroumouri Itou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381325,Îlet Kouaman,Ilet Kouaman,Ile Kouaman$Ilet Couaman$Ilet Kouaman$Ilet Kouaman Tapele$Île Kouaman$Îlet Couaman$Îlet Kouaman$Îlet Kouaman Tapélé,373.816,-5.191.667,T,ISL,BR,GF,0,,,,0,,35,America/Cayenne,03/07/2015,Ile Kouaman,Ilet Couaman,Ilet Kouaman,Ilet Kouaman Tapele,Île Kouaman,Îlet Couaman,Îlet Kouaman,Îlet Kouaman Tapélé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381343,Rio Keriniutu,Rio Keriniutu,Corrego Acrindioutou$Crique Kerindioutou$Crique Kérindioutou$Córrego Acrindioutou$Rio Curinioto$Rio Keriniutu$Rio Oiapoque$Riviere Kerindioutou$Rivière Kérindioutou,216.667,-5.298.333,H,STM,BR,,0,,,,0,,160,America/Cayenne,03/07/2015,Corrego Acrindioutou,Crique Kerindioutou,Crique Kérindioutou,Córrego Acrindioutou,Rio Curinioto,Rio Keriniutu,Rio Oiapoque,Riviere Kerindioutou,Rivière Kérindioutou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381370,Kanguélalou Itou,Kanguelalou Itou,Kanguelalou Itou$Kanguelarou Itou$Kanguélalou Itou$Kanguélarou Itou,282.587,-5.245.434,H,FLLS,BR,GF,0,,,,0,,89,America/Belem,03/07/2015,Kanguelalou Itou,Kanguelarou Itou,Kanguélalou Itou,Kanguélarou Itou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381375,Kalara Itou,Kalara Itou,Kalara Itou,21.934,-5.293.488,H,RPDS,BR,GF,0,,,,0,,152,America/Belem,03/07/2015,Kalara Itou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381376,Cachoeira Taiuá,Cachoeira Taiua,Cachoeira Paiua$Cachoeira Paiuá$Cachoeira Taiua$Cachoeira Taiuá$Kainwa Itou$Kaïnwa Itou$Saut Canoa$Saut Kainoua$Saut Kaïnoua,221.481,-5.289.179,H,FLLS,BR,,0,,,,0,,136,America/Cayenne,10/06/2020,Cachoeira Paiua,Cachoeira Paiuá,Cachoeira Taiua,Cachoeira Taiuá,Kainwa Itou,Kaïnwa Itou,Saut Canoa,Saut Kainoua,Saut Kaïnoua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381378,Saut Kachiri,Saut Kachiri,Saut Cachiri$Saut Kachiri,371.967,-5.194.071,H,RPDS,BR,GF,0,,,,0,,19,America/Belem,08/06/2015,Saut Cachiri,Saut Kachiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381432,Ipanan Tapéré,Ipanan Tapere,,283.333,-52.45,H,RPDS,BR,GF,0,,,,0,,86,America/Cayenne,07/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381448,Imoéle Itou,Imoele Itou,Imoele Itou$Imoéle Itou$Saut Imoeu-areu$Saut Imœu-areu$Saut Ymoareu,275.062,-5.248.055,H,RPDS,BR,GF,0,,,,0,,81,America/Belem,10/06/2020,Imoele Itou,Imoéle Itou,Saut Imoeu-areu,Saut Imœu-areu,Saut Ymoareu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381522,Îlet Gros Indien,Ilet Gros Indien,Ilet Gros Indien$Îlet Gros Indien,378.207,-5.190.939,T,ISL,BR,GF,0,,,,0,,36,America/Belem,08/06/2015,Ilet Gros Indien,Îlet Gros Indien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381575,Cachoeira Grande Rocha,Cachoeira Grande Rocha,Cachoeira Gran Roche$Cachoeira Grande Rocha$Cachoeira Grande Roche$Saut Grande Roche,380.046,-5.188.222,H,FLLS,BR,,0,,,,0,,7,America/Belem,03/07/2015,Cachoeira Gran Roche,Cachoeira Grande Rocha,Cachoeira Grande Roche,Saut Grande Roche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381599,Saut Grand Ako,Saut Grand Ako,Cachoeira Aco$Cachoeira Acô$Saut Grand Ako,276.285,-5.247.673,H,FLLS,BR,,0,,,,0,,85,America/Belem,03/07/2015,Cachoeira Aco,Cachoeira Acô,Saut Grand Ako,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381639,Îlet Galion,Ilet Galion,Ilet Galion$Îlet Galion,397.067,-5.177.607,T,ISL,BR,GF,0,,,,0,,3,America/Cayenne,08/06/2015,Ilet Galion,Îlet Galion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3382110,Chemin de l'Enfer,Chemin de l'Enfer,Chemin de l'Enfer,348.261,-5.208.854,H,FLLS,BR,GF,0,,,,0,,45,America/Cayenne,03/12/2019,Chemin de l'Enfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3382327,Îlets Bois Déraciné,Ilets Bois Deracine,Ilets Bois Deracine$Îlets Bois Déraciné,343.333,-5.211.667,T,ISLS,BR,GF,0,,,,0,,49,America/Cayenne,03/07/2015,Ilets Bois Deracine,Îlets Bois Déraciné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3382550,Sauts Anawa,Sauts Anawa,Saut Anaoua$Sauts Anawa,378.925,-5.190.294,H,RPDS,BR,GF,0,,,,0,,13,America/Belem,08/06/2015,Saut Anaoua,Sauts Anawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3382573,Alikoto Miti Itou,Alikoto Miti Itou,Alicoto Miti Ito$Alicoto Miti Itou$Alikoto Miti Itou$Cachoeira Alicolo$Cachoeira Alicolô$Cachoeira Pequeno Alicolo$Cachoeira Pequeno Alicolô,288.752,-5.242.358,H,FLLS,BR,,0,,,,0,,79,America/Cayenne,03/07/2015,Alicoto Miti Ito,Alicoto Miti Itou,Alikoto Miti Itou,Cachoeira Alicolo,Cachoeira Alicolô,Cachoeira Pequeno Alicolo,Cachoeira Pequeno Alicolô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3382574,Alikoto Itou,Alikoto Itou,Alikoto Itou$Saut Alicoto$Saut Aricoto,308.188,-523.303,H,FLLS,BR,GF,0,,,,0,,72,America/Cayenne,03/07/2015,Alikoto Itou,Saut Alicoto,Saut Aricoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3382584,Îlet Alice,Ilet Alice,Ilet Alice$Ilets Alice$Îlet Alice$Îlets Alice,366.672,-5.198.813,T,ISLS,BR,GF,0,,,,0,,40,America/Cayenne,03/07/2015,Ilet Alice,Ilets Alice,Îlet Alice,Îlets Alice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384862,Riacho Zuza,Riacho Zuza,,-943.333,-3.766.667,H,STMI,BR,,2,,,,0,,213,America/Maceio,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384863,Rio Zutiua,Rio Zutiua,Rio Zutiua$Rio Zutiva,-368.725,-4.548.518,H,STM,BR,,13,,,,0,,10,America/Fortaleza,05/12/2012,Rio Zutiua,Rio Zutiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384864,Zundão,Zundao,,-5.15,-4.191.667,P,PPL,BR,,20,2210656.0,,,0,,214,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384865,Rio Zumbi,Rio Zumbi,Rio Zumbi$Zumbi River,-2.85,-4.001.667,H,STMI,BR,,6,,,,0,,11,America/Fortaleza,08/09/2021,Rio Zumbi,Zumbi River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384866,Riacho Zumbi,Riacho Zumbi,,-6.35,-4.018.333,H,STMI,BR,,6,,,,0,,584,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384867,Ponta do Zumbi,Ponta do Zumbi,Ponta Turi$Ponta Tury$Ponta do Zumbi$Ponta do Zumui,-143.333,-4.481.667,T,PT,BR,BR,13,,,,0,,-9999,America/Belem,19/01/2012,Ponta Turi,Ponta Tury,Ponta do Zumbi,Ponta do Zumui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384868,Zumbi,Zumbi,,-7.1,-3.568.333,P,PPL,BR,,17,2500304.0,,,0,,309,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384869,Zumbi,Zumbi,,-638.333,-40.2,P,PPL,BR,,6,2300408.0,,,0,,375,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384870,Zumbi,Zumbi,,-533.306,-3.536.218,P,PPL,BR,,22,2408953.0,,,0,,10,America/Fortaleza,07/04/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384871,Zumbi,Zumbi,,-523.333,-43.2,P,PPL,BR,,13,2106607.0,,,0,,157,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384872,Zorra,Zorra,,-586.667,-39.55,P,PPL,BR,,6,2308500.0,,,0,,313,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
