alternatenames

Corrego dos Cocais$Córrego dos Cocais$Rio Cocais
Cocais
Cocais$Sitio dos Cocais$Sítio dos Cocais
Cocaes

Cocais
Do Cobre River$Rio do Cobre
Das Cobras River$Rio das Cobras
Ribeirao das Cobras$Ribeirão das Cobras
