geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
7777545,Sítio Oliveira,Sitio Oliveira,Sitio Oliveira$Sítio Oliveira,-2.379.865,-5.031.332,P,PPL,BR,,18,4109708,,,0,,586,America/Sao_Paulo,03/08/2012
7777547,Sítio João,Sitio Joao,Sitio Joao$Sítio João,-2.380.019,-5.029.957,P,PPL,BR,,18,4109708,,,0,,563,America/Sao_Paulo,03/08/2012
7777548,Sítio Benedito Freitas,Sitio Benedito Freitas,Sitio Benedito Freitas$Sítio Benedito Freitas,-2.380.147,-503.073,P,PPL,BR,,18,4109708,,,0,,582,America/Sao_Paulo,03/08/2012
7777549,Fazenda Santa Laura,Fazenda Santa Laura,Fazenda Santa Laura,-238.123,-503.368,S,FRM,BR,,18,4109708,,,0,,615,America/Sao_Paulo,03/08/2012
7777550,Agroindustrial Santa Laura,Agroindustrial Santa Laura,Agroindustrial Santa Laura,-2.381.526,-5.032.469,S,MFG,BR,,18,4109708,,,0,,655,America/Sao_Paulo,03/08/2012
7777551,Igreja de São Sebastião,Igreja de Sao Sebastiao,Igreja de Sao Sebastiao$Igreja de São Sebastião,-238.147,-5.036.297,S,CH,BR,,18,4109708,,,0,,611,America/Sao_Paulo,03/08/2012
7777552,Sítio Santa Isabel,Sitio Santa Isabel,Sitio Santa Isabel$Sítio Santa Isabel,-2.384.049,-5.033.476,P,PPL,BR,,18,4109708,,,0,,578,America/Sao_Paulo,03/08/2012
7777553,Sítio Nossa Senhora Aparecida,Sitio Nossa Senhora Aparecida,Sitio Nossa Senhora Aparecida$Sítio Nossa Senhora Aparecida,-2.384.469,-5.034.141,P,PPL,BR,,18,4109708,,,0,,592,America/Sao_Paulo,03/08/2012
7777554,Sítio Limoeiro,Sitio Limoeiro,Sitio Limoeiro$Sítio Limoeiro,-238.464,-5.033.493,P,PPL,BR,,18,4109708,,,0,,562,America/Sao_Paulo,03/08/2012
7777555,Sítio Francisco Martins,Sitio Francisco Martins,Sitio Francisco Martins$Sítio Francisco Martins,-2.384.662,-5.033.314,P,PPL,BR,,18,4109708,,,0,,571,America/Sao_Paulo,03/08/2012
7777556,Córrego Carvãozinho,Corrego Carvaozinho,Corrego Carvaozinho$Córrego Carvãozinho,-2.383.217,-5.038.151,H,STM,BR,,18,,,,0,,533,America/Sao_Paulo,21/01/2012
7777557,Fazenda São Joaquim,Fazenda Sao Joaquim,Fazenda Sao Joaquim$Fazenda São Joaquim,-2.384.498,-5.030.752,S,FRM,BR,,18,4109708,,,0,,721,America/Sao_Paulo,03/08/2012
