geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
12133743,Córrego Candinópolis,Corrego Candinopolis,Corrego Candinopolis$Córrego Candinópolis,-1.965.017,-4.319.039,H,STM,BR,,15,,,,0,,670,America/Sao_Paulo,11/03/2020
12133744,Córrego do Cedro,Corrego do Cedro,Corrego do Cedro$Córrego do Cedro,-1.964.898,-431.844,H,STM,BR,,15,,,,0,,737,America/Sao_Paulo,11/03/2020
12133745,Córrego Vista Alegre,Corrego Vista Alegre,Corrego Vista Alegre$Córrego Vista Alegre,-1.967.683,-4.319.944,H,STM,BR,,15,,,,0,,790,America/Sao_Paulo,11/03/2020
12133746,Ribeirão do Peixe,Ribeirao do Peixe,Ribeirao do Peixe$Ribeirão do Peixe,-1.968.725,-4.327.685,H,STM,BR,,15,,,,0,,764,America/Sao_Paulo,11/03/2020
12133747,Ribeirão do Machado,Ribeirao do Machado,Ribeirao do Machado$Ribeirão do Machado,-1.977.525,-4.338.399,H,STM,BR,,15,,,,0,,681,America/Sao_Paulo,11/03/2020
12133748,Ribeirão Carretão,Ribeirao Carretao,Ribeirao Carretao$Ribeirão Carretão,-1.978.082,-4.342.084,H,STM,BR,,15,,,,0,,692,America/Sao_Paulo,11/03/2020
12133749,Córrego das Perobas,Corrego das Perobas,Corrego Bom Sucesso$Corrego das Perobas$Córrego Bom Sucesso$Córrego das Perobas,-1.980.362,-4.331.615,H,STM,BR,,15,,,,0,,672,America/Sao_Paulo,11/03/2020
12133750,Rio Una,Rio Una,Rio Una,-1.981.011,-4.334.144,H,STM,BR,,15,,,,0,,637,America/Sao_Paulo,11/03/2020
12133751,Córrego João de Deus,Corrego Joao de Deus,Corrego Joao de Deus$Córrego João de Deus,-1.977.867,-4.326.044,H,STM,BR,,15,,,,0,,703,America/Sao_Paulo,11/03/2020
12133752,Ribeirão da Bexiga,Ribeirao da Bexiga,Ribeirao da Bexiga$Ribeirão da Bexiga,-1.978.311,-4.321.636,H,STM,BR,,15,,,,0,,589,America/Sao_Paulo,11/03/2020
12133753,Córrego do Tanque,Corrego do Tanque,Corrego do Tanque$Córrego do Tanque,-1.983.694,-4.341.645,H,STM,BR,,15,,,,0,,678,America/Sao_Paulo,11/03/2020
12133754,Córrego Brucutu,Corrego Brucutu,Corrego Brucutu$Córrego Brucutu,-1.988.273,-4.336.741,H,STM,BR,,15,,,,0,,701,America/Sao_Paulo,11/03/2020
12133755,Córrego do Pena,Corrego do Pena,Corrego do Pena$Córrego do Pena,-1.984.753,-4.324.011,H,STM,BR,,15,,,,0,,773,America/Sao_Paulo,11/03/2020
12133756,Córrego do Carmo,Corrego do Carmo,Corrego do Carmo$Córrego do Carmo,-1.981.147,-4.322.948,H,STM,BR,,15,,,,0,,632,America/Sao_Paulo,11/03/2020
12133757,Córrego São Pedro,Corrego Sao Pedro,Corrego Sao Pedro$Córrego São Pedro,-1.987.812,-4.327.036,H,STM,BR,,15,,,,0,,825,America/Sao_Paulo,11/03/2020
12133758,Córrego Pau Raiz,Corrego Pau Raiz,Corrego Pau Raiz$Córrego Pau Raiz,-1.985.249,-432.507,H,STM,BR,,15,,,,0,,750,America/Sao_Paulo,11/03/2020
12133759,Una,Una,Una,-1.979.559,-4.337.715,P,PPL,BR,,15,,,,0,,669,America/Sao_Paulo,11/03/2020
12133760,São José,Sao Jose,Sao Jose$São José,-1.987.692,-4.328.539,P,PPL,BR,,15,,,,0,,801,America/Sao_Paulo,11/03/2020
12133761,Cascalho,Cascalho,Cascalho,-1.978.055,-433.616,L,LCTY,BR,,15,,,,0,,694,America/Sao_Paulo,11/03/2020
12133762,Cabral,Cabral,Cabral,-197.838,-4.328.744,L,LCTY,BR,,15,,,,0,,803,America/Sao_Paulo,11/03/2020
12133763,Cachoeira,Cachoeira,Cachoeira,-1.982.959,-4.329.342,L,LCTY,BR,,15,,,,0,,874,America/Sao_Paulo,11/03/2020
12133764,Peti,Peti,Peti,-1.988.512,-4.333.341,L,LCTY,BR,,15,,,,0,,747,America/Sao_Paulo,11/03/2020
12133765,Brucutu,Brucutu,Brucutu,-1.989.042,-434.267,L,LCTY,BR,,15,,,,0,,796,America/Sao_Paulo,11/03/2020
12133766,Fazenda do Funil,Fazenda do Funil,Fazenda do Funil,-1.978.653,-4.346.908,S,FRM,BR,,15,,,,0,,715,America/Sao_Paulo,11/03/2020
12133767,Fazenda Ponte Funda,Fazenda Ponte Funda,Fazenda Ponte Funda,-1.981.387,-4.346.242,S,FRM,BR,,15,,,,0,,713,America/Sao_Paulo,11/03/2020
12133768,Fazenda Sebastião Lacerda,Fazenda Sebastiao Lacerda,Fazenda Sebastiao Lacerda$Fazenda Sebastião Lacerda,-1.981.592,-4.339.185,S,FRM,BR,,15,,,,0,,653,America/Sao_Paulo,11/03/2020
12133769,Fazenda Tamanduá,Fazenda Tamandua,Fazenda Tamandua$Fazenda Tamanduá,-1.984.121,-4.339.492,S,FRM,BR,,15,,,,0,,691,America/Sao_Paulo,11/03/2020
12133770,Fazenda da Vargem,Fazenda da Vargem,Fazenda da Vargem,-1.978.687,-43.229,S,FRM,BR,,15,,,,0,,657,America/Sao_Paulo,11/03/2020
