geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66,othername67,othername68,othername69,othername70,othername71,othername72,othername73,othername74,othername75,othername76,othername77,othername78,othername79,othername80,othername81,othername82,othername83,othername84,othername85,othername86,othername87,othername88,othername89,othername90,othername91,othername92,othername93,othername94,othername95,othername96,othername97,othername98
3461460,Arroio Iguariaçá,Arroio Iguariaca,,-28.7,-55.55,H,STM,BR,,23,,,,0,,76,America/Sao_Paulo,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461461,Iguaraçu,Iguaracu,,-2.319.694,-518.275,P,PPL,BR,,18,4110003.0,,,0,,567,America/Sao_Paulo,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461462,Rio Iguapé,Rio Iguape,Rio Iguape$Rio Iguapé,-22.55,-4.223.333,H,STM,BR,,21,,,,0,,8,America/Sao_Paulo,05/12/2012,Rio Iguape,Rio Iguapé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461463,Mar de Iguape,Mar de Iguape,Mar Pequeno$Mar Pequeno de Iguape$Mar Pequeno de Iguapé$Mar de Iguape,-2.479.951,-4.767.551,H,CHNM,BR,,27,3520301.0,,,0,,17,America/Sao_Paulo,15/06/2016,Mar Pequeno,Mar Pequeno de Iguape,Mar Pequeno de Iguapé,Mar de Iguape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461464,Ilha Iguape,Ilha Iguape,Ilha Iguape$Ilha do Mar,-2.466.667,-47.5,T,ISL,BR,BR,27,,,,0,,117,America/Sao_Paulo,19/01/2012,Ilha Iguape,Ilha do Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461465,Iguape,Iguape,Bom Jesus da Ribeira$Iguapi$iguraape$yi gua pei$??????$???????$???????$???,-2.470.806,-4.755.528,P,PPL,BR,,27,3520301.0,,,23784,,8,America/Sao_Paulo,03/08/2012,Bom Jesus da Ribeira,Iguapi,iguraape,yi gua pei,??????,???????,???????,???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461466,Iguape,Iguape,Iguape,-2.058.333,-4.048.333,P,PPL,BR,,8,3202405.0,,,0,,30,America/Sao_Paulo,05/12/2012,Iguape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461467,Iguape,Iguape,,-1.471.667,-3.906.667,P,PPL,BR,,5,2913606.0,,,0,,17,America/Bahia,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461468,Iguape,Iguape,,-1.283.627,-4.090.298,P,PPL,BR,,5,2903805.0,,,0,,418,America/Bahia,11/01/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461469,Iguaí,Iguai,,-1.475.639,-4.008.917,P,PPL,BR,,5,2913507.0,,,14217,,354,America/Bahia,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
