,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27
0,7693537,Arroio Passo do Amâncio,Arroio Passo do Amancio,-2.584.934,-492.156,H,STM,BR,,18.0,,,,0,,888,America/Sao_Paulo,21/01/2012,Arroio Passo do Amancio,Arroio Passo do Amâncio,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7693538,Cerâmica Palermo,Ceramica Palermo,-258.567,-492.164,S,MFG,BR,,18.0,4114302.0,,,0,,899,America/Sao_Paulo,03/08/2012,Ceramica Palermo,Cerâmica Palermo,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7693539,Palmeira,Palmeira,-258.619,-4.921.899,L,LCTY,BR,,18.0,,,,0,,908,America/Sao_Paulo,21/01/2012,Palmeira,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7693540,Tapera,Tapera,-2.587.373,-4.923.028,L,LCTY,BR,,18.0,,,,0,,939,America/Sao_Paulo,21/01/2012,Tapera,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7693724,Mato-Dentro,Mato-Dentro,-257.503,-4.948.184,L,LCTY,BR,,18.0,,,,0,,884,America/Sao_Paulo,21/01/2012,Mato-Dentro,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7693725,Sítio Albino Taioka,Sitio Albino Taioka,-257.591,-494.953,P,PPL,BR,,18.0,4106209.0,,,0,,885,America/Sao_Paulo,03/08/2012,Sitio Albino Taioka,Sítio Albino Taioka,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7693726,Sítio Jorge Strugal,Sitio Jorge Strugal,-257.566,-49.485,P,PPL,BR,,18.0,4106209.0,,,0,,876,America/Sao_Paulo,03/08/2012,Sitio Jorge Strugal,Sítio Jorge Strugal,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7693727,Sítio José Casanosch,Sitio Jose Casanosch,-2.575.942,-4.948.549,P,PPL,BR,,18.0,4106209.0,,,0,,883,America/Sao_Paulo,03/08/2012,Sitio Jose Casanosch,Sítio José Casanosch,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7693728,Arroio Passo da Varginha,Arroio Passo da Varginha,-258.831,-4.923.991,H,STM,BR,,18.0,,,,0,,888,America/Sao_Paulo,21/01/2012,Arroio Passo da Varginha,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7693729,Aracatuba,Aracatuba,-2.589.161,-4.924.503,L,LCTY,BR,,18.0,,,,0,,890,America/Sao_Paulo,21/01/2012,Aracatuba,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7693730,Birituba,Birituba,-258.886,-492.288,L,LCTY,BR,,18.0,,,,0,,929,America/Sao_Paulo,21/01/2012,Birituba,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7693731,Saltinho,Saltinho,-2.590.899,-4.924.891,L,LCTY,BR,,18.0,,,,0,,896,America/Sao_Paulo,21/01/2012,Saltinho,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7693732,Lagoa Grande,Lagoa Grande,-2.591.177,-4.923.103,L,LCTY,BR,,18.0,,,,0,,923,America/Sao_Paulo,21/01/2012,Lagoa Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7693733,Gama,Gama,-2.592.825,-4.922.505,L,LCTY,BR,,18.0,,,,0,,917,America/Sao_Paulo,21/01/2012,Gama,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7693734,Campinas,Campinas,-2.592.864,-4.924.648,L,LCTY,BR,,18.0,,,,0,,889,America/Sao_Paulo,21/01/2012,Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7693735,Lagoa,Lagoa,-2.594.578,-4.922.828,P,PPLL,BR,,18.0,4127601.0,,,0,,921,America/Sao_Paulo,03/08/2012,Lagoa,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7693736,Instituição Erdelvyi,Instituicao Erdelvyi,-259.544,-492.262,S,BLDG,BR,,18.0,4127601.0,,,0,,915,America/Sao_Paulo,03/08/2012,Instituicao Erdelvyi,Instituição Erdelvyi,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7693737,São João,Sao Joao,-2.598.712,-4.924.202,L,LCTY,BR,,18.0,,,,0,,902,America/Sao_Paulo,21/01/2012,Sao Joao,São João,,,,,,,,,,,,,,,,,,,,,,,,,,
18,7693738,Cangoera,Cangoera,-2.599.729,-4.915.827,L,LCTY,BR,,18.0,,,,0,,856,America/Sao_Paulo,21/01/2012,Cangoera,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7693739,Escola Tiradentes,Escola Tiradentes,-259.998,-491.583,S,SCH,BR,,18.0,4127601.0,,,0,,842,America/Sao_Paulo,03/08/2012,Escola Tiradentes,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,7693740,Barreiro,Barreiro,-2.598.416,-4.915.896,L,LCTY,BR,,18.0,,,,0,,882,America/Sao_Paulo,21/01/2012,Barreiro,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7693741,Ribeirão Barreiro,Ribeirao Barreiro,-2.598.194,-4.917.803,H,STM,BR,,18.0,,,,0,,827,America/Sao_Paulo,21/01/2012,Ribeirao Barreiro,Ribeirão Barreiro,,,,,,,,,,,,,,,,,,,,,,,,,,
22,7693742,Salto da Boa Vista,Salto da Boa Vista,-2.597.603,-4.918.153,L,LCTY,BR,,18.0,,,,0,,848,America/Sao_Paulo,21/01/2012,Salto da Boa Vista,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,7693743,Campestre,Campestre,-2.598.168,-4.918.987,L,LCTY,BR,,18.0,,,,0,,831,America/Sao_Paulo,21/01/2012,Campestre,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,7693744,Arroio Passo do Júlio,Arroio Passo do Julio,-2.598.954,-4.919.449,H,STM,BR,,18.0,,,,0,,820,America/Sao_Paulo,21/01/2012,Arroio Passo do Julio,Arroio Passo do Júlio,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7693745,Arroio da Onça,Arroio da Onca,-2.596.277,-4.915.875,H,STM,BR,,18.0,,,,0,,866,America/Sao_Paulo,21/01/2012,Arroio da Onca,Arroio da Onça,,,,,,,,,,,,,,,,,,,,,,,,,,
26,7693746,Onça,Onca,-2.594.918,-4.913.345,L,LCTY,BR,,18.0,,,,0,,931,America/Sao_Paulo,21/01/2012,Onca,Onça,,,,,,,,,,,,,,,,,,,,,,,,,,
27,7693747,Arroio Passo do Largo,Arroio Passo do Largo,-2.589.406,-4.914.793,H,STM,BR,,18.0,,,,0,,916,America/Sao_Paulo,21/01/2012,Arroio Passo do Largo,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,7693748,Arroio das Doenças,Arroio das Doencas,-2.596.111,-4.915.892,H,STM,BR,,18.0,,,,0,,861,America/Sao_Paulo,21/01/2012,Arroio das Doencas,Arroio das Doenças,,,,,,,,,,,,,,,,,,,,,,,,,,
29,7693749,Ribeirão do Meio,Ribeirao do Meio,-259.468,-4.915.022,L,LCTY,BR,,18.0,,,,0,,930,America/Sao_Paulo,21/01/2012,Ribeirao do Meio,Ribeirão do Meio,,,,,,,,,,,,,,,,,,,,,,,,,,
30,7693750,Mata-Burro,Mata-Burro,-259.388,-491.783,L,LCTY,BR,,18.0,,,,0,,880,America/Sao_Paulo,21/01/2012,Mata-Burro,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7693751,Rio da Palha,Rio da Palha,-2.586.966,-4.920.855,H,STM,BR,,18.0,,,,0,,890,America/Sao_Paulo,21/01/2012,Rio da Palha,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,7693752,Ginásio de Esportes Boca Júnior,Ginasio de Esportes Boca Junior,-259.211,-491.834,S,SCH,BR,,18.0,4127601.0,,,0,,906,America/Sao_Paulo,03/08/2012,Ginasio de Esportes Boca Junior,Ginásio de Esportes Boca Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,
33,7693753,Colégio Professor Francisco M. de L. Camargo,Colegio Professor Francisco M. de L. Camargo,-259.262,-491.783,S,SCH,BR,,18.0,4127601.0,,,0,,914,America/Sao_Paulo,03/08/2012,Colegio Professor Francisco M. de L. Camargo,Colégio Professor Francisco M. de L. Camargo,,,,,,,,,,,,,,,,,,,,,,,,,,
34,7693754,Indústria Sassafrás,Industria Sassafras,-2.592.466,-4.917.256,L,INDS,BR,,18.0,,,,0,,912,America/Sao_Paulo,21/01/2012,Industria Sassafras,Indústria Sassafrás,,,,,,,,,,,,,,,,,,,,,,,,,,
35,7693755,Arroio da Campina,Arroio da Campina,-2.591.585,-4.914.753,H,STM,BR,,18.0,,,,0,,913,America/Sao_Paulo,21/01/2012,Arroio da Campina,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,7693756,Escola Presidente Kennedy,Escola Presidente Kennedy,-259.302,-491.485,S,SCH,BR,,18.0,4127601.0,,,0,,917,America/Sao_Paulo,03/08/2012,Escola Presidente Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,7693757,Córrego do Tamandua,Corrego do Tamandua,-2.593.164,-491.221,H,STM,BR,,18.0,,,,0,,918,America/Sao_Paulo,21/01/2012,Corrego do Tamandua,Córrego do Tamandua,,,,,,,,,,,,,,,,,,,,,,,,,,
38,7693758,Ambrósios,Ambrosios,-2.592.965,-4.913.828,L,LCTY,BR,,18.0,,,,0,,946,America/Sao_Paulo,21/01/2012,Ambrosios,Ambrósios,,,,,,,,,,,,,,,,,,,,,,,,,,
39,7693759,Haras Santa Rita da Serra,Haras Santa Rita da Serra,-259.057,-491.269,S,FRM,BR,,18.0,4127601.0,,,0,,924,America/Sao_Paulo,03/08/2012,Haras Santa Rita da Serra,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,7693760,Rio Colono,Rio Colono,-2.584.324,-4.920.665,H,STM,BR,,18.0,,,,0,,889,America/Sao_Paulo,21/01/2012,Rio Colono,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,7693761,Xaxim,Xaxim,-2.591.259,-4.915.814,L,LCTY,BR,,18.0,,,,0,,929,America/Sao_Paulo,21/01/2012,Xaxim,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7693762,Escola Presidente Médici,Escola Presidente Medici,-259.079,-491.588,S,SCH,BR,,18.0,4127601.0,,,0,,920,America/Sao_Paulo,03/08/2012,Escola Presidente Medici,Escola Presidente Médici,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7693763,Arroio Passo do Xaxim,Arroio Passo do Xaxim,-2.588.842,-4.915.597,H,STM,BR,,18.0,,,,0,,908,America/Sao_Paulo,21/01/2012,Arroio Passo do Xaxim,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7693764,Campo das Flores,Campo das Flores,-2.590.365,-4.917.332,L,LCTY,BR,,18.0,,,,0,,937,America/Sao_Paulo,21/01/2012,Campo das Flores,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7693765,Haras Ponte Nova,Haras Ponte Nova,-258.943,-49.132,S,FRM,BR,,18.0,4127601.0,,,0,,924,America/Sao_Paulo,03/08/2012,Haras Ponte Nova,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7693766,Haras Pemale do Sul,Haras Pemale do Sul,-258.906,-491.305,S,FRM,BR,,18.0,4127601.0,,,0,,921,America/Sao_Paulo,03/08/2012,Haras Pemale do Sul,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7693767,Colono,Colono,-2.588.637,-491.503,L,LCTY,BR,,18.0,,,,0,,931,America/Sao_Paulo,21/01/2012,Colono,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7693768,Haras Caratuva,Haras Caratuva,-258.858,-491.685,S,FRM,BR,,18.0,4127601.0,,,0,,909,America/Sao_Paulo,03/08/2012,Haras Caratuva,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7693769,Contenda dos Amâncios,Contenda dos Amancios,-2.588.119,-4.918.894,L,LCTY,BR,,18.0,,,,0,,920,America/Sao_Paulo,21/01/2012,Contenda dos Amancios,Contenda dos Amâncios,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7693770,Contenda,Contenda,-258.686,-491.931,L,LCTY,BR,,18.0,,,,0,,918,America/Sao_Paulo,21/01/2012,Contenda,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7693771,Rio Taboado,Rio Taboado,-2.580.903,-4.916.381,H,STM,BR,,18.0,,,,0,,897,America/Sao_Paulo,21/01/2012,Rio Taboado,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,7693772,Haras Tijucas do Sul,Haras Tijucas do Sul,-258.741,-49.127,S,FRM,BR,,18.0,4127601.0,,,0,,929,America/Sao_Paulo,03/08/2012,Haras Tijucas do Sul,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,7693773,Haras Santa Rita,Haras Santa Rita,-258.783,-491.395,S,FRM,BR,,18.0,4127601.0,,,0,,914,America/Sao_Paulo,03/08/2012,Haras Santa Rita,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,7693774,Haras Anderson,Haras Anderson,-258.583,-491.415,S,FRM,BR,,18.0,4127601.0,,,0,,916,America/Sao_Paulo,03/08/2012,Haras Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,7693775,Mineração Tabatinga,Mineracao Tabatinga,-2.585.232,-4.915.837,S,MN,BR,,18.0,4127601.0,,,0,,912,America/Sao_Paulo,03/08/2012,Mineracao Tabatinga,Mineração Tabatinga,,,,,,,,,,,,,,,,,,,,,,,,,,
56,7693776,Haras Truc,Haras Truc,-258.571,-4.916.193,S,FRM,BR,,18.0,4127601.0,,,0,,923,America/Sao_Paulo,03/08/2012,Haras Truc,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,7693777,Capela de Sant’Ana,Capela de Sant'Ana,-258.509,-491.753,S,CH,BR,,18.0,4127601.0,,,0,,921,America/Sao_Paulo,03/08/2012,Capela de Sant'Ana,Capela de Sant’Ana,,,,,,,,,,,,,,,,,,,,,,,,,,
58,7693778,Sanga Antinha,Sanga Antinha,-2.581.446,-49.167,H,STM,BR,,18.0,,,,0,,896,America/Sao_Paulo,21/01/2012,Sanga Antinha,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,7693779,Rio Campina,Rio Campina,-2.583.066,-4.913.984,H,STM,BR,,18.0,,,,0,,895,America/Sao_Paulo,21/01/2012,Rio Campina,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,7693780,Reservatório de Água Companhia de Saneamento do Paraná,Reservatorio de Agua Companhia de Saneamento do Parana,-2.582.721,-4.912.557,H,RSVT,BR,,18.0,,,,0,,905,America/Sao_Paulo,21/01/2012,Reservatorio de Agua Companhia de Saneamento do Parana,Reservatório de Água Companhia de Saneamento do Paraná,,,,,,,,,,,,,,,,,,,,,,,,,,
61,7693781,Eremitério Santa Clara,Eremiterio Santa Clara,-25.819,-49.144,P,PPL,BR,,18.0,4127601.0,,,0,,920,America/Sao_Paulo,03/08/2012,Eremiterio Santa Clara,Eremitério Santa Clara,,,,,,,,,,,,,,,,,,,,,,,,,,
62,7693782,Ameixa,Ameixa,-257.971,-4.920.242,L,LCTY,BR,,18.0,,,,0,,918,America/Sao_Paulo,21/01/2012,Ameixa,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,7693783,Rio Abaixo,Rio Abaixo,-2.581.017,-4.915.582,L,LCTY,BR,,18.0,,,,0,,910,America/Sao_Paulo,21/01/2012,Rio Abaixo,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,7693784,Morro Vermelho,Morro Vermelho,-2.577.777,-4.914.561,L,LCTY,BR,,18.0,,,,0,,941,America/Sao_Paulo,21/01/2012,Morro Vermelho,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,7693785,Arroio Agreste,Arroio Agreste,-2.580.707,-4.918.126,H,STM,BR,,18.0,,,,0,,897,America/Sao_Paulo,21/01/2012,Arroio Agreste,Arroio Aracaeiro,Arroio Araçaeiro,,,,,,,,,,,,,,,,,,,,,,,,,
66,7693786,Arroio Passo dos Pires,Arroio Passo dos Pires,-2.580.413,-4.919.349,H,STM,BR,,18.0,,,,0,,896,America/Sao_Paulo,21/01/2012,Arroio Passo dos Pires,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,7693787,Campestre da Faxina,Campestre da Faxina,-2.576.087,-491.928,L,LCTY,BR,,18.0,,,,0,,956,America/Sao_Paulo,21/01/2012,Campestre da Faxina,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,7693788,Escola Professor Devahe C. Urich,Escola Professor Devahe C. Urich,-257.595,-49.185,S,SCH,BR,,18.0,4125506.0,,,0,,928,America/Sao_Paulo,03/08/2012,Escola Professor Devahe C. Urich,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,7693789,Arroio da Campina,Arroio da Campina,-2.578.232,-4.914.037,H,STM,BR,,18.0,,,,0,,911,America/Sao_Paulo,21/01/2012,Arroio da Campina,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,7693790,Associação Villa Pinto,Associacao Villa Pinto,-257.551,-491.379,S,BLDG,BR,,18.0,4127601.0,,,0,,941,America/Sao_Paulo,03/08/2012,Associacao Villa Pinto,Associação Villa Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,
71,7693791,Osso da Anta,Osso da Anta,-2.575.771,-4.906.248,L,LCTY,BR,,18.0,,,,0,,996,America/Sao_Paulo,21/01/2012,Osso da Anta,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,7693792,Rio Osso da Anta,Rio Osso da Anta,-2.579.593,-4.905.168,H,STM,BR,,18.0,,,,0,,821,America/Sao_Paulo,21/01/2012,Rio Osso da Anta,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,7693793,Rio Capivari,Rio Capivari,-2.578.944,-4.903.584,H,STM,BR,,18.0,,,,0,,815,America/Sao_Paulo,21/01/2012,Rio Capivari,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,7693794,Chácara Quilômetro Trinta e Nove,Chacara Quilometro Trinta e Nove,-257.767,-491.164,S,FRM,BR,,18.0,4127601.0,,,0,,978,America/Sao_Paulo,03/08/2012,Chacara Quilometro Trinta e Nove,Chácara Quilômetro Trinta e Nove,,,,,,,,,,,,,,,,,,,,,,,,,,
75,7693795,Rio Voçoroca,Rio Vocoroca,-2.580.872,-490.969,H,STM,BR,,18.0,,,,0,,871,America/Sao_Paulo,21/01/2012,Rio Vocoroca,Rio Voçoroca,,,,,,,,,,,,,,,,,,,,,,,,,,
76,7693796,Rio Abaixo,Rio Abaixo,-2.581.462,-4.915.249,H,STM,BR,,18.0,,,,0,,897,America/Sao_Paulo,21/01/2012,Rio Abaixo,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,7693797,Ribeirão Rincão Alegre,Ribeirao Rincao Alegre,-2.579.399,-4.914.759,H,STM,BR,,18.0,,,,0,,899,America/Sao_Paulo,21/01/2012,Ribeirao Rincao Alegre,Ribeirão Rincão Alegre,,,,,,,,,,,,,,,,,,,,,,,,,,
78,7693798,Haras Mossoró,Haras Mossoro,-258.219,-491.204,S,FRM,BR,,18.0,4127601.0,,,0,,931,America/Sao_Paulo,03/08/2012,Haras Mossoro,Haras Mossoró,,,,,,,,,,,,,,,,,,,,,,,,,,
79,7693799,Barrio Voçoroca,Barrio Vocoroca,-258.202,-490.623,P,PPL,BR,,18.0,4127601.0,,,0,,817,America/Sao_Paulo,03/08/2012,Barrio Vocoroca,Barrio Voçoroca,,,,,,,,,,,,,,,,,,,,,,,,,,
80,7693800,Rio Matulão,Rio Matulao,-2.581.094,-4.903.945,H,STM,BR,,18.0,,,,0,,814,America/Sao_Paulo,21/01/2012,Rio Matulao,Rio Matulão,,,,,,,,,,,,,,,,,,,,,,,,,,
81,7693801,Campo Alto,Campo Alto,-2.583.995,-4.909.611,L,LCTY,BR,,18.0,,,,0,,899,America/Sao_Paulo,21/01/2012,Campo Alto,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,7693802,Madeireira Landau,Madeireira Landau,-2.582.965,-4.911.843,L,INDS,BR,,18.0,,,,0,,914,America/Sao_Paulo,21/01/2012,Madeireira Landau,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,7693803,Serraria Mult-Pinus,Serraria Mult-Pinus,-2.584.567,-4.910.365,S,MLSW,BR,,18.0,4127601.0,,,0,,914,America/Sao_Paulo,03/08/2012,Serraria Mult-Pinus,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,7693804,Rio São Joãozinho,Rio Sao Joaozinho,-2.585.945,-490.489,H,STM,BR,,18.0,,,,0,,848,America/Sao_Paulo,21/01/2012,Rio Sao Joaozinho,Rio São Joãozinho,,,,,,,,,,,,,,,,,,,,,,,,,,
85,7693805,Campo Alto,Campo Alto,-2.587.801,-490.954,L,LCTY,BR,,18.0,,,,0,,902,America/Sao_Paulo,21/01/2012,Campo Alto,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,7693806,Sítio Henrique Valoski,Sitio Henrique Valoski,-258.935,-491.211,P,PPL,BR,,18.0,4127601.0,,,0,,923,America/Sao_Paulo,03/08/2012,Sitio Henrique Valoski,Sítio Henrique Valoski,,,,,,,,,,,,,,,,,,,,,,,,,,
87,7693807,Sítio Maria das Dores dos Santos,Sitio Maria das Dores dos Santos,-258.931,-491.047,P,PPL,BR,,18.0,4127601.0,,,0,,934,America/Sao_Paulo,03/08/2012,Sitio Maria das Dores dos Santos,Sítio Maria das Dores dos Santos,,,,,,,,,,,,,,,,,,,,,,,,,,
88,7693808,Ribeirão do Mel,Ribeirao do Mel,-2.589.335,-490.968,L,LCTY,BR,,18.0,,,,0,,903,America/Sao_Paulo,21/01/2012,Ribeirao do Mel,Ribeirão do Mel,,,,,,,,,,,,,,,,,,,,,,,,,,
89,7693809,Ribeirão do Mel,Ribeirao do Mel,-2.588.288,-4.907.912,H,STM,BR,,18.0,,,,0,,891,America/Sao_Paulo,21/01/2012,Ribeirao do Mel,Ribeirão do Mel,,,,,,,,,,,,,,,,,,,,,,,,,,
90,7693810,Sítio Antônio Horto,Sitio Antonio Horto,-258.934,-490.795,P,PPL,BR,,18.0,4127601.0,,,0,,899,America/Sao_Paulo,03/08/2012,Sitio Antonio Horto,Sítio Antônio Horto,,,,,,,,,,,,,,,,,,,,,,,,,,
91,7693811,Sítio Pedro do Rosário,Sitio Pedro do Rosario,-258.942,-490.829,P,PPL,BR,,18.0,4127601.0,,,0,,918,America/Sao_Paulo,03/08/2012,Sitio Pedro do Rosario,Sítio Pedro do Rosário,,,,,,,,,,,,,,,,,,,,,,,,,,
92,7693812,Córrego das Pedras,Corrego das Pedras,-2.588.728,-4.906.717,L,LCTY,BR,,18.0,,,,0,,922,America/Sao_Paulo,21/01/2012,Corrego das Pedras,Córrego das Pedras,,,,,,,,,,,,,,,,,,,,,,,,,,
93,7693813,Pinhal dos Borges,Pinhal dos Borges,-2.588.635,-4.905.402,L,LCTY,BR,,18.0,,,,0,,911,America/Sao_Paulo,21/01/2012,Pinhal dos Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,7693814,Sítio Bonanza,Sitio Bonanza,-258.927,-49.052,P,PPL,BR,,18.0,4127601.0,,,0,,891,America/Sao_Paulo,03/08/2012,Sitio Bonanza,Sítio Bonanza,,,,,,,,,,,,,,,,,,,,,,,,,,
95,7693815,Chácara Três Córregos,Chacara Tres Corregos,-258.941,-490.541,S,FRM,BR,,18.0,4127601.0,,,0,,904,America/Sao_Paulo,03/08/2012,Chacara Tres Corregos,Chácara Três Córregos,,,,,,,,,,,,,,,,,,,,,,,,,,
96,7693816,Chácara Antônio V. Gabardo,Chacara Antonio V. Gabardo,-25.897,-490.441,S,FRM,BR,,18.0,4127601.0,,,0,,895,America/Sao_Paulo,03/08/2012,Chacara Antonio V. Gabardo,Chácara Antônio V. Gabardo,,,,,,,,,,,,,,,,,,,,,,,,,,
97,7693817,Chácara Rosimalta Draguetta,Chacara Rosimalta Draguetta,-258.948,-49.063,S,FRM,BR,,18.0,4127601.0,,,0,,935,America/Sao_Paulo,03/08/2012,Chacara Rosimalta Draguetta,Chácara Rosimalta Draguetta,,,,,,,,,,,,,,,,,,,,,,,,,,
98,7693818,Sítio Antônio C. dos Santos,Sitio Antonio C. dos Santos,-258.957,-490.745,P,PPL,BR,,18.0,4127601.0,,,0,,906,America/Sao_Paulo,03/08/2012,Sitio Antonio C. dos Santos,Sítio Antônio C. dos Santos,,,,,,,,,,,,,,,,,,,,,,,,,,
99,7693819,Sítio Pedro Banak,Sitio Pedro Banak,-258.959,-490.881,P,PPL,BR,,18.0,4127601.0,,,0,,934,America/Sao_Paulo,03/08/2012,Sitio Pedro Banak,Sítio Pedro Banak,,,,,,,,,,,,,,,,,,,,,,,,,,
100,7693820,Sítio Otávio Rosário,Sitio Otavio Rosario,-258.988,-490.857,P,PPL,BR,,18.0,4127601.0,,,0,,901,America/Sao_Paulo,03/08/2012,Sitio Otavio Rosario,Sítio Otávio Rosário,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7693821,Sítio Antônio A. de Lima,Sitio Antonio A. de Lima,-258.975,-491.118,P,PPL,BR,,18.0,4127601.0,,,0,,937,America/Sao_Paulo,03/08/2012,Sitio Antonio A. de Lima,Sítio Antônio A. de Lima,,,,,,,,,,,,,,,,,,,,,,,,,,
102,7693822,Sítio Orávia da Cruz,Sitio Oravia da Cruz,-259.005,-491.193,P,PPL,BR,,18.0,4127601.0,,,0,,939,America/Sao_Paulo,03/08/2012,Sitio Oravia da Cruz,Sítio Orávia da Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,
103,7693823,Sítio Flávio da Cruz,Sitio Flavio da Cruz,-259.031,-491.205,P,PPL,BR,,18.0,4127601.0,,,0,,939,America/Sao_Paulo,03/08/2012,Sitio Flavio da Cruz,Sítio Flávio da Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,
104,7693824,Granja Antônio C. da Cruz,Granja Antonio C. da Cruz,-259.069,-491.092,S,FRM,BR,,18.0,4127601.0,,,0,,936,America/Sao_Paulo,03/08/2012,Granja Antonio C. da Cruz,Granja Antônio C. da Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,
105,7693825,Escola Tomé de Souza,Escola Tome de Souza,-259.084,-49.107,S,SCH,BR,,18.0,4127601.0,,,0,,950,America/Sao_Paulo,03/08/2012,Escola Tome de Souza,Escola Tomé de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,
106,7693826,Campo Comprido,Campo Comprido,-2.591.626,-4.911.291,L,LCTY,BR,,18.0,,,,0,,941,America/Sao_Paulo,21/01/2012,Campo Comprido,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,7693827,Sítio Dokival C. da Costa,Sitio Dokival C. da Costa,-25.907,-491.069,P,PPL,BR,,18.0,4127601.0,,,0,,945,America/Sao_Paulo,03/08/2012,Sitio Dokival C. da Costa,Sítio Dokival C. da Costa,,,,,,,,,,,,,,,,,,,,,,,,,,
108,7693828,Sítio Eduardo Belgamann,Sitio Eduardo Belgamann,-259.042,-49.101,P,PPL,BR,,18.0,4127601.0,,,0,,916,America/Sao_Paulo,03/08/2012,Sitio Eduardo Belgamann,Sítio Eduardo Belgamann,,,,,,,,,,,,,,,,,,,,,,,,,,
109,7693829,Sítio Firmino Cardoso,Sitio Firmino Cardoso,-2.590.074,-4.909.439,P,PPL,BR,,18.0,4127601.0,,,0,,929,America/Sao_Paulo,03/08/2012,Sitio Firmino Cardoso,Sítio Firmino Cardoso,,,,,,,,,,,,,,,,,,,,,,,,,,
