,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27
510,7694230,Sítio Alexio Ribas,Sitio Alexio Ribas,-259.601,-493.452,P,PPL,BR,,18.0,4100301.0,,,0,,822,America/Sao_Paulo,03/08/2012,Sitio Alexio Ribas,Sítio Alexio Ribas,,,,,,,,,,,,,,,,,,,,,,,,,,
511,7694231,Chácara Martini,Chacara Martini,-259.612,-493.646,S,FRM,BR,,18.0,4100301.0,,,0,,836,America/Sao_Paulo,03/08/2012,Chacara Martini,Chácara Martini,,,,,,,,,,,,,,,,,,,,,,,,,,
512,7694232,Serraria José Luíz,Serraria Jose Luiz,-259.699,-493.409,S,MLSW,BR,,18.0,4100301.0,,,0,,825,America/Sao_Paulo,03/08/2012,Serraria Jose Luiz,Serraria José Luíz,,,,,,,,,,,,,,,,,,,,,,,,,,
513,7694233,Escola Vital Brasil,Escola Vital Brasil,-259.704,-493.626,S,SCH,BR,,18.0,4100301.0,,,0,,840,America/Sao_Paulo,03/08/2012,Escola Vital Brasil,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,7694234,Capela de Santo Antônio,Capela de Santo Antonio,-259.703,-49.362,S,CH,BR,,18.0,4100301.0,,,0,,856,America/Sao_Paulo,03/08/2012,Capela de Santo Antonio,Capela de Santo Antônio,,,,,,,,,,,,,,,,,,,,,,,,,,
515,7694235,Sítio José Mendes,Sitio Jose Mendes,-259.662,-493.711,P,PPL,BR,,18.0,4121208.0,,,0,,831,America/Sao_Paulo,03/08/2012,Sitio Jose Mendes,Sítio José Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,
516,7694236,Tabuão,Tabuao,-259.675,-493.645,P,PPLL,BR,,18.0,4100301.0,,,0,,829,America/Sao_Paulo,03/08/2012,Tabuao,Tabuão,,,,,,,,,,,,,,,,,,,,,,,,,,
517,7694237,Sítio Tobias dos Santos,Sitio Tobias dos Santos,-259.719,-493.645,P,PPL,BR,,18.0,4100301.0,,,0,,843,America/Sao_Paulo,03/08/2012,Sitio Tobias dos Santos,Sítio Tobias dos Santos,,,,,,,,,,,,,,,,,,,,,,,,,,
518,7694238,Sítio Osiris P. Machado,Sitio Osiris P. Machado,-259.703,-493.769,P,PPL,BR,,18.0,4121208.0,,,0,,841,America/Sao_Paulo,03/08/2012,Sitio Osiris P. Machado,Sítio Osiris P. Machado,,,,,,,,,,,,,,,,,,,,,,,,,,
519,7694239,Quebra Joelho,Quebra Joelho,-2.597.492,-4.939.002,L,LCTY,BR,,18.0,,,,0,,902,America/Sao_Paulo,21/01/2012,Quebra Joelho,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,7694240,Sítio Francisco P. da Silva,Sitio Francisco P. da Silva,-259.609,-493.983,P,PPL,BR,,18.0,4121208.0,,,0,,829,America/Sao_Paulo,03/08/2012,Sitio Francisco P. da Silva,Sítio Francisco P. da Silva,,,,,,,,,,,,,,,,,,,,,,,,,,
521,7694241,Escola São Pedro,Escola Sao Pedro,-259.607,-494.017,S,SCH,BR,,18.0,4121208.0,,,0,,823,America/Sao_Paulo,03/08/2012,Escola Sao Pedro,Escola São Pedro,,,,,,,,,,,,,,,,,,,,,,,,,,
522,7694242,Quebra Joelho,Quebra Joelho,-2.595.888,-4.939.329,P,PPLL,BR,,18.0,4121208.0,,,0,,869,America/Sao_Paulo,03/08/2012,Quebra Joelho,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,7694243,Sítio Lorival P. da Cruz,Sitio Lorival P. da Cruz,-259.555,-494.046,P,PPL,BR,,18.0,4121208.0,,,0,,830,America/Sao_Paulo,03/08/2012,Sitio Lorival P. da Cruz,Sítio Lorival P. da Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,
524,7694244,Sítio Delfino Mendes,Sitio Delfino Mendes,-259.521,-493.863,P,PPL,BR,,18.0,4121208.0,,,0,,842,America/Sao_Paulo,03/08/2012,Sitio Delfino Mendes,Sítio Delfino Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,
525,7694245,Sítio Santos Pinto,Sitio Santos Pinto,-259.521,-49.399,P,PPL,BR,,18.0,4121208.0,,,0,,835,America/Sao_Paulo,03/08/2012,Sitio Santos Pinto,Sítio Santos Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,
526,7694246,Sítio Didigio F. de Lima,Sitio Didigio F. de Lima,-259.469,-493.942,P,PPL,BR,,18.0,4121208.0,,,0,,825,America/Sao_Paulo,03/08/2012,Sitio Didigio F. de Lima,Sítio Didigio F. de Lima,,,,,,,,,,,,,,,,,,,,,,,,,,
527,7694247,Sítio José L. de Lima,Sitio Jose L. de Lima,-259.427,-494.011,P,PPL,BR,,18.0,4121208.0,,,0,,825,America/Sao_Paulo,03/08/2012,Sitio Jose L. de Lima,Sítio José L. de Lima,,,,,,,,,,,,,,,,,,,,,,,,,,
528,7694248,Igreja do Senhor Bom Jesus,Igreja do Senhor Bom Jesus,-259.393,-493.934,S,CH,BR,,18.0,4121208.0,,,0,,832,America/Sao_Paulo,03/08/2012,Igreja do Senhor Bom Jesus,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,7694249,Sítio São Pedro,Sitio Sao Pedro,-259.427,-493.806,P,PPL,BR,,18.0,4121208.0,,,0,,855,America/Sao_Paulo,03/08/2012,Sitio Sao Pedro,Sítio São Pedro,,,,,,,,,,,,,,,,,,,,,,,,,,
530,7694250,Sítio Pedro F. de Souza,Sitio Pedro F. de Souza,-259.436,-493.876,P,PPL,BR,,18.0,4121208.0,,,0,,825,America/Sao_Paulo,03/08/2012,Sitio Pedro F. de Souza,Sítio Pedro F. de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,
531,7694251,Cerâmica Agudos do Sul,Ceramica Agudos do Sul,-259.557,-493.567,S,MFG,BR,,18.0,4100301.0,,,0,,814,America/Sao_Paulo,03/08/2012,Ceramica Agudos do Sul,Cerâmica Agudos do Sul,,,,,,,,,,,,,,,,,,,,,,,,,,
532,7694252,Santo Amaro,Santo Amaro,-259.416,-493.623,P,PPLL,BR,,18.0,4114302.0,,,0,,826,America/Sao_Paulo,03/08/2012,Santo Amaro,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,7694253,Sítio Luiz Afonso,Sitio Luiz Afonso,-259.401,-493.613,P,PPL,BR,,18.0,4114302.0,,,0,,834,America/Sao_Paulo,03/08/2012,Sitio Luiz Afonso,Sítio Luiz Afonso,,,,,,,,,,,,,,,,,,,,,,,,,,
534,7694254,Sítio Onofre Pasda,Sitio Onofre Pasda,-259.467,-493.571,P,PPL,BR,,18.0,4114302.0,,,0,,839,America/Sao_Paulo,03/08/2012,Sitio Onofre Pasda,Sítio Onofre Pasda,,,,,,,,,,,,,,,,,,,,,,,,,,
535,7694255,Sítio João Makowicz,Sitio Joao Makowicz,-259.512,-493.513,P,PPL,BR,,18.0,4114302.0,,,0,,825,America/Sao_Paulo,03/08/2012,Sitio Joao Makowicz,Sítio João Makowicz,,,,,,,,,,,,,,,,,,,,,,,,,,
