,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30
4838,11778105,Farol de Naufragados,Farol de Naufragados,-2.783.575,-4.856.976,S,LTHSE,BR,,26.0,4205407.0,,,0,,17,America/Sao_Paulo,05/12/2017,Naufragados Point Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4839,11778106,Ilha do Arvoredo Lighthouse,Ilha do Arvoredo Lighthouse,-2.729.616,-4.835.674,S,LTHSE,BR,,26.0,4205407.0,,,0,,67,America/Sao_Paulo,05/12/2017,Arvoredo Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4840,11778180,Ilha de Villegagnon Lighthouse,Ilha de Villegagnon Lighthouse,-2.291.265,-4.315.787,S,LTHSE,BR,,21.0,3304557.0,,,0,,-9999,America/Sao_Paulo,06/12/2017,Villegagnon Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4841,11778182,Morro do Castelo (historical),Morro do Castelo (historical),-2.290.718,-431.743,T,HLL,BR,,21.0,3304557.0,,,0,,48,America/Sao_Paulo,06/12/2017,Castle Hill,Morro do Castello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4842,11778183,Observatory Tower (historical),Observatory Tower (historical),-2.290.637,-4.317.254,S,TOWR,BR,,21.0,3304557.0,,,0,,29,America/Sao_Paulo,06/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4843,11778236,Pedra do Xaréu,Pedra do Xareu,-2.279.678,-4.314.213,T,RK,BR,,21.0,3304557.0,,,0,,-9999,America/Sao_Paulo,07/12/2017,Xareo Rock,Xarru Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4844,11778239,Pedras Viraponga,Pedras Viraponga,-2.278.308,-431.362,T,RKS,BR,,21.0,3304557.0,,,0,,-9999,America/Sao_Paulo,07/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4845,11778241,Pedra do Canal,Pedra do Canal,-2.278.288,-431.438,T,RK,BR,,21.0,3304557.0,,,0,,-9999,America/Sao_Paulo,07/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4846,11778242,Calhau da Piedade,Calhau da Piedade,-2.269.739,-4.307.097,T,RK,BR,,21.0,3302502.0,,,0,,-9999,America/Sao_Paulo,07/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4847,11778246,Laje do Rijo,Laje do Rijo,-2.278.722,-4.314.493,H,SHOL,BR,,21.0,3304557.0,,,0,,-9999,America/Sao_Paulo,07/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4848,11778247,Floating Dock Affonso Penna (historical),Floating Dock Affonso Penna (historical),-227.861,-4.314.633,H,DCKB,BR,,21.0,3304557.0,,,0,,-9999,America/Sao_Paulo,07/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4849,11778248,Coal Depot (historical),Coal Depot (historical),-2.286.848,-4.313.449,S,BLDG,BR,,21.0,,,,0,,0,America/Sao_Paulo,07/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4850,11789219,Agência de Marketing Tupiniquim Digital,Agencia de Marketing Tupiniquim Digital,-372.391,-3.846.771,S,BLDO,BR,,6.0,2304400.0,,,5000,5.0,20,America/Fortaleza,15/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
