geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername120,othername130,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66,othername67,othername68,othername69,othername71,othername72,othername73,othername74,othername75,othername76,othername77,othername78,othername79,othername80
3399870,Fazenda Santa Rosa,Fazenda Santa Rosa,,-481.667,-3.816.667,P,PPL,BR,,6,2311801.0,,,0,,41,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399871,Fazenda Santa Rosa,Fazenda Santa Rosa,,-4.3,-39.9,P,PPL,BR,,6,2312205.0,,,0,,262,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399872,Fazenda Santa Rosa,Fazenda Santa Rosa,,-3.7,-4.038.333,P,PPL,BR,,6,2312908.0,,,0,,94,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399873,Fazenda Santa Rosa,Fazenda Santa Rosa,,-346.667,-3.898.333,P,PPL,BR,,6,2310209.0,,,0,,35,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399874,Fazenda Santa Rita,Fazenda Santa Rita,,-773.333,-4.271.667,P,PPL,BR,,20,2208874.0,,,0,,202,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399875,Fazenda Santa Paz,Fazenda Santa Paz,,-7.3,-4.216.667,P,PPL,BR,,20,2202778.0,,,0,,202,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399876,Fazenda Santana,Fazenda Santana,,-463.333,-4.046.667,P,PPL,BR,,6,2309300.0,,,0,,254,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399877,Fazenda Santana,Fazenda Santana,,-436.667,-39.45,P,PPL,BR,,6,2302800.0,,,0,,220,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399878,Fazenda Santana,Fazenda Santana,,-3.85,-4.001.667,P,PPL,BR,,6,2312908.0,,,0,,138,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399879,Fazenda Santa Marta,Fazenda Santa Marta,,-7.35,-3.963.333,P,PPL,BR,,6,2312106.0,,,0,,892,America/Fortaleza,25/07/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399880,Fazenda Santa Maria,Fazenda Santa Maria,,-493.333,-3.961.667,P,PPL,BR,,6,2302404.0,,,0,,289,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399881,Fazenda Santa Maria,Fazenda Santa Maria,,-471.667,-3.976.667,P,PPL,BR,,6,2302404.0,,,0,,423,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399882,Fazenda Santa Maria,Fazenda Santa Maria,,-398.333,-39.05,P,PPL,BR,,6,2310704.0,,,0,,95,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399883,Fazenda Santa Maria,Fazenda Santa Maria,,-331.667,-3.991.667,P,PPL,BR,,6,2300754.0,,,0,,51,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399884,Fazenda Santa Luzia,Fazenda Santa Luzia,,-568.333,-4.148.333,P,PPL,BR,,20,2210409.0,,,0,,419,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
