geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
3479539,Capela de Nossa Senhora da Conceição,Capela de Nossa Senhora da Conceicao,,-2.547.917,-4.848.778,S,CH,BR,,18,4118204,,,0,,10,America/Sao_Paulo,03/08/2012
3479540,Sítio Luiz A. Dantas,Sitio Luiz A. Dantas,Sitio Luiz A. Dantas$Sítio Luiz A. Dantas,-2.578.944,-4.970.556,P,PPL,BR,,18,4113205,,,0,,875,America/Sao_Paulo,03/08/2012
3479541,Sítio Francisco Lipski,Sitio Francisco Lipski,Sitio Francisco Lipski$Sítio Francisco Lipski,-2.577.889,-4.973.528,P,PPL,BR,,18,4113205,,,0,,939,America/Sao_Paulo,03/08/2012
3479542,Sítio Adalberto Gluck,Sitio Adalberto Gluck,Sitio Adalberto Gluck$Sítio Adalberto Gluck,-2.575.972,-4.973.917,P,PPL,BR,,18,4113205,,,0,,939,America/Sao_Paulo,03/08/2012
3479543,Sítio Floriano Hoffmann,Sitio Floriano Hoffmann,Sitio Floriano Hoffmann$Sítio Floriano Hoffmann,-2.575.889,-4.969.583,P,PPL,BR,,18,4113205,,,0,,922,America/Sao_Paulo,03/08/2012
3479544,Escola Pedro F. Cavalin,Escola Pedro F. Cavalin,Escola Pedro F. Cavalin,-25.755,-4.971.278,S,SCH,BR,,18,4113205,,,0,,901,America/Sao_Paulo,03/08/2012
3479545,Sítio João Souza,Sitio Joao Souza,Sitio Joao Souza$Sítio João Souza,-2.578.472,-4.972.278,P,PPL,BR,,18,4113205,,,0,,884,America/Sao_Paulo,03/08/2012
3479546,Chácara Concórdia,Chacara Concordia,Chacara Concordia$Chácara Concórdia,-2.575.389,-4.973.833,S,FRM,BR,,18,4113205,,,0,,931,America/Sao_Paulo,03/08/2012
3479547,Capela de Nossa Senhora Aparecida,Capela de Nossa Senhora Aparecida,Capela de Nossa Senhora Aparecida,-2.575.444,-497.125,S,CH,BR,,18,4113205,,,0,,908,America/Sao_Paulo,03/08/2012
3479548,Sítio Genoveva Mazur,Sitio Genoveva Mazur,Sitio Genoveva Mazur$Sítio Genoveva Mazur,-2.578.639,-4.972.361,P,PPL,BR,,18,4113205,,,0,,868,America/Sao_Paulo,03/08/2012
3479549,Sítio Sebastião,Sitio Sebastiao,Sitio Sebastiao$Sítio Sebastião,-25.795,-4.970.167,P,PPL,BR,,18,4113205,,,0,,886,America/Sao_Paulo,03/08/2012
3479550,Sítio Calixto Gause,Sitio Calixto Gause,Sitio Calixto Gause$Sítio Calixto Gause,-2.577.222,-4.968.833,P,PPL,BR,,18,4113205,,,0,,908,America/Sao_Paulo,03/08/2012
3479551,Sítio Eric Genochio,Sitio Eric Genochio,Sitio Eric Genochio$Sítio Eric Genochio,-2.575.167,-49.685,P,PPL,BR,,18,4113205,,,0,,888,America/Sao_Paulo,03/08/2012
3479552,Sítio Antônio Jorge,Sitio Antonio Jorge,Sitio Antonio Jorge$Sítio Antônio Jorge,-2.576.056,-4.967.778,P,PPL,BR,,18,4113205,,,0,,886,America/Sao_Paulo,03/08/2012
3479553,Sítio João Lodatta,Sitio Joao Lodatta,Sitio Joao Lodatta$Sítio João Lodatta,-2.579.528,-4.971.417,P,PPL,BR,,18,4113205,,,0,,839,America/Sao_Paulo,03/08/2012
3479554,Sítio Teodoro Lipski,Sitio Teodoro Lipski,Sitio Teodoro Lipski$Sítio Teodoro Lipski,-25.795,-4.974.444,P,PPL,BR,,18,4113205,,,0,,906,America/Sao_Paulo,03/08/2012
3479555,Capela de Nossa Senhora das Graças,Capela de Nossa Senhora das Gracas,Capela de Nossa Senhora das Gracas$Capela de Nossa Senhora das Graças,-2.579.306,-4.974.861,S,CH,BR,,18,4113205,,,0,,937,America/Sao_Paulo,03/08/2012
3479556,Sítio Boa Vista,Sitio Boa Vista,Sitio Boa Vista$Sítio Boa Vista,-2.578.833,-4.974.167,P,PPL,BR,,18,4113205,,,0,,901,America/Sao_Paulo,03/08/2012
3479557,Chácara Pedro Dudeki,Chacara Pedro Dudeki,Chacara Pedro Dudeki$Chácara Pedro Dudeki,-257.725,-4.974.083,S,FRM,BR,,18,4113205,,,0,,928,America/Sao_Paulo,03/08/2012
3479558,Sítio Pedro de J. Cardoso,Sitio Pedro de J. Cardoso,Sitio Pedro de J. Cardoso$Sítio Pedro de J. Cardoso,-2.578.556,-4.974.583,P,PPL,BR,,18,4113205,,,0,,908,America/Sao_Paulo,03/08/2012
3479559,Chácara Alceu Kranschmidt,Chacara Alceu Kranschmidt,Chacara Alceu Kranschmidt$Chácara Alceu Kranschmidt,-2.577.694,-4.974.194,S,FRM,BR,,18,4113205,,,0,,918,America/Sao_Paulo,03/08/2012
3479560,Sítio Alcir Kleinschmidt,Sitio Alcir Kleinschmidt,Sitio Alcir Kleinschmidt$Sítio Alcir Kleinschmidt,-2.578.139,-4.973.972,P,PPL,BR,,18,4113205,,,0,,911,America/Sao_Paulo,03/08/2012
3479561,Sítio José Correa,Sitio Jose Correa,Sitio Jose Correa$Sítio José Correa,-25.785,-4.972.167,P,PPL,BR,,18,4113205,,,0,,886,America/Sao_Paulo,03/08/2012
3479562,Sítio Osni Caroni,Sitio Osni Caroni,Sitio Osni Caroni$Sítio Osni Caroni,-2.576.472,-4.969.417,P,PPL,BR,,18,4113205,,,0,,1004,America/Sao_Paulo,03/08/2012
3479563,Sítio João Marques,Sitio Joao Marques,Sitio Joao Marques$Sítio João Marques,-2.576.472,-4.969.167,P,PPL,BR,,18,4113205,,,0,,994,America/Sao_Paulo,03/08/2012
3479564,Sítio Luísa M. dos Santos,Sitio Luisa M. dos Santos,Sitio Luisa M. dos Santos$Sítio Luísa M. dos Santos,-2.579.889,-4.971.083,P,PPL,BR,,18,4113205,,,0,,830,America/Sao_Paulo,03/08/2012
3479565,Sítio Antônio Bassani,Sitio Antonio Bassani,Sitio Antonio Bassani$Sítio Antônio Bassani,-2.576.194,-4.969.639,P,PPL,BR,,18,4113205,,,0,,976,America/Sao_Paulo,03/08/2012
3479566,Sítio Benedito H. Gonçalves,Sitio Benedito H. Goncalves,Sitio Benedito H. Goncalves$Sítio Benedito H. Gonçalves,-2.578.972,-4.974.833,P,PPL,BR,,18,4113205,,,0,,932,America/Sao_Paulo,03/08/2012
