,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66,othername67,othername68,othername69,othername70,othername71,othername72,othername73
3628,7537623,Covanca,Covanca,-2.298.229,-4.364.266,P,PPLX,BR,,21,3304557.0,,,0,,32,America/Sao_Paulo,03/08/2012,Covanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3629,7537624,Morro da Covanca,Morro da Covanca,-2.298.001,-4.363.527,T,HLL,BR,,21,3304557.0,,,0,48.0,132,America/Sao_Paulo,03/08/2012,Morro da Covanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3630,7537625,Serra da Capoeira Grande,Serra da Capoeira Grande,-2.298.001,-4.363.527,T,HLLS,BR,,21,,,,0,48.0,132,America/Sao_Paulo,21/01/2012,Serra da Capoeira Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3631,7537626,Capoeira Grande,Capoeira Grande,-2.298.037,-4.361.892,P,PPLX,BR,,21,3304557.0,,,0,,10,America/Sao_Paulo,03/08/2012,Capoeira Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3632,7537627,Morro da Pedra,Morro da Pedra,-2.298.782,-4.364.474,T,HLL,BR,,21,3304557.0,,,0,36.0,52,America/Sao_Paulo,03/08/2012,Morro da Pedra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3633,7537628,Barra do Piraquê,Barra do Piraque,-2.300.808,-4.362.323,H,INLT,BR,,21,,,,0,,2,America/Sao_Paulo,21/01/2012,Barra do Piraque,Barra do Piraquê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3634,7537629,Praia da Marambaia,Praia da Marambaia,-2.304.915,-4.362.918,T,BCH,BR,,21,3304557.0,,,0,,7,America/Sao_Paulo,22/06/2016,Praia da Marambaia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3635,7537630,Ilha Baleias,Ilha Baleias,-2.304.203,-435.866,T,ISL,BR,,21,,,,0,,4,America/Sao_Paulo,21/01/2012,Ilha Baleias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3636,7537631,Ilhas Suruquaí,Ilhas Suruquai,-2.303.747,-4.358.127,T,ISL,BR,,21,,,,0,,7,America/Sao_Paulo,21/01/2012,Ilhas Suruquai,Ilhas Suruquaí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3637,7537632,Praia do Canto,Praia do Canto,-2.307.136,-4.356.763,T,BCH,BR,,21,3304557.0,,,0,,21,America/Sao_Paulo,22/12/2017,Praia do Canto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
