geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
3464078,Epitácio Pessoa,Epitacio Pessoa,Epitacio Pessoa$Epitácio Pessoa,-247.714,-489.852,L,LCTY,BR,,18,,,,0,,383,America/Sao_Paulo,19/01/2012
3464079,Epaminondas Ridículo,Epaminondas Ridiculo,Epaminondas Ridiculo$Epaminondas Ridículo,-1.621.667,-3.983.333,P,PPL,BR,,5,2915304,,,0,,307,America/Bahia,05/12/2012
3464080,Epaminondas Otoni,Epaminondas Otoni,,-17.91,-4.101.361,P,PPLL,BR,,15,3113701,,,0,,228,America/Sao_Paulo,03/08/2012
3464081,Epaminondas Matos,Epaminondas Matos,Epaminondas Matos,-1.678.333,-41.3,P,PPL,BR,,15,3143153,,,0,,727,America/Sao_Paulo,05/12/2012
3464082,Córrego Enxu,Corrego Enxu,Corrego Enxu$Córrego Enxu$Rio Enxu,-150.254,-4.207.745,H,STMI,BR,,5,,,,0,,697,America/Bahia,11/06/2020
3464083,Enxu,Enxu,,-1.418.333,-4.101.667,P,PPL,BR,,5,2931004,,,0,,303,America/Bahia,03/08/2012
3464084,Enxu,Enxu,Caetano$Enxu,-11.05,-3.968.333,P,PPL,BR,BR,5,2925808,,,0,,317,America/Bahia,03/08/2012
3464085,Serra da Enxovia,Serra da Enxovia,,-2.511.667,-5.081.667,T,RDGE,BR,,18,,,,0,,780,America/Sao_Paulo,17/12/1993
3464086,Rio Enxovia,Rio Enxovia,Ribeirao Enxovia$Ribeirão Enxovia$Rio Enxovia,-23.6,-4.863.333,H,STM,BR,BR,27,,,,0,,576,America/Sao_Paulo,19/01/2012
3464087,Morro das Enxovas,Morro das Enxovas,Morro das Enxovas,-2.388.333,-4.533.333,T,MT,BR,,27,3520400,,,0,,480,America/Sao_Paulo,05/03/2013
3464088,Ribeirão Enxadinha,Ribeirao Enxadinha,Ribeirao Enxadinha$Ribeirao Enxadinho$Ribeirão Enxadinha$Ribeirão Enxadinho,-16.15,-4.026.667,H,STM,BR,BR,15,,,,0,,163,America/Bahia,19/01/2012
3464089,Ilha das Enxadas,Ilha das Enxadas,Enchadas Island$Ilha das Enchadas$Ilha das Enxadas,-2.288.352,-431.749,T,ISL,BR,,21,,,,0,,0,America/Sao_Paulo,21/02/2019
3464090,Ribeirão Enxadão,Ribeirao Enxadao,Ribeirao Enxadao$Ribeirão Enxadão,-1.613.333,-4.013.333,H,STM,BR,,15,,,,0,,153,America/Bahia,05/12/2012
3464091,Entupido,Entupido,Entupido,-2.249.979,-4.485.164,P,PPL,BR,,27,3526605,,,0,,677,America/Sao_Paulo,25/12/2014
3464092,Córrego do Entrudo,Corrego do Entrudo,Corrego do Entrudo$Córrego do Entrudo$Riacho do Entrudo,-11.95,-45.75,H,STMI,BR,BR,5,,,,0,,754,America/Araguaina,11/06/2020
3464093,Estação Entroncamento,Estacao Entroncamento,Estacao Entroncamento$Estação Entroncamento,-23.4,-4.686.667,S,RSTN,BR,,27,3509205,,,0,,758,America/Sao_Paulo,05/03/2013
3464094,Entroncamento,Entroncamento,Entroncamento$Estancia Entroncamento$Estância Entroncamento,-29.85,-5.493.333,P,PPL,BR,BR,23,4302907,,,0,,85,America/Sao_Paulo,03/08/2012
3464095,Entroncamento,Entroncamento,,-13.2,-4.033.333,P,PPL,BR,,5,2924900,,,0,,725,America/Bahia,03/08/2012
3464096,Entre Val,Entre Val,,-1.258.333,-39.25,P,PPL,BR,,5,2904852,,,0,,129,America/Bahia,03/08/2012
3464097,Entre Rios de Minas,Entre Rios de Minas,Entre Rios$Joao Ribeiro$João Ribeiro,-2.067.083,-4.406.556,P,PPL,BR,BR,15,3123908,,,0,,942,America/Sao_Paulo,03/08/2012
3464098,Entre Rios,Entre Rios,,-1.193.333,-3.806.667,S,RSTN,BR,,5,2910503,,,0,,84,America/Bahia,03/08/2012
3464099,Entre Rios,Entre Rios,Entre Rios$Fazenda Entre Rios,-1.936.667,-54.15,P,PPL,BR,BR,11,5002605,,,0,,376,America/Campo_Grande,03/08/2012
3464100,Entre Rios,Entre Rios,Nossa Senhora dos Prazeres do Inhambupe,-1.194.194,-3.808.444,P,PPL,BR,,5,2910503,,,27405,,165,America/Bahia,03/08/2012
3464101,Ribeirão Entre-Ribeiros,Ribeirao Entre-Ribeiros,Ribeirao Entre Ribeiros$Ribeirao Entre-Ribeiros$Ribeirão Entre Ribeiros$Ribeirão Entre-Ribeiros,-1.698.406,-4.623.615,H,STM,BR,,15,,,,0,,509,America/Sao_Paulo,09/02/2013
3464102,Entrepelado,Entrepelado,,-2.971.861,-5.074.083,P,PPLL,BR,,23,4321204,,,0,,26,America/Sao_Paulo,03/08/2012
3464103,Riacho Entre-Morros,Riacho Entre-Morros,,-1.253.333,-39.7,H,STM,BR,,5,,,,0,,230,America/Bahia,17/12/1993
3464104,Entre Ijuís,Entre Ijuis,Colonia da Barra,-2.835.889,-5.426.778,P,PPL,BR,BR,23,4306932,,,0,,212,America/Sao_Paulo,03/08/2012
3464105,Entre Folhas,Entre Folhas,,-1.962.528,-4.223.056,P,PPL,BR,,15,3123858,,,0,,454,America/Sao_Paulo,03/08/2012
3464106,Lagoa da Entrada,Lagoa da Entrada,,-10.25,-4.441.667,H,LK,BR,,20,,,,0,,423,America/Araguaina,17/12/1993
3464107,Rio Enseado,Rio Enseado,,-11.1,-4.886.667,H,STM,BR,,31,,,,0,,236,America/Araguaina,21/03/1994
3464108,Cachoeira Enseada Tuiuiú,Cachoeira Enseada Tuiuiu,,-11.35,-5.838.333,H,FLLS,BR,,14,,,,0,,276,America/Cuiaba,17/12/1993
3464109,Enseada de Brito,Enseada de Brito,Enseada de Brito,-2.777.889,-4.863.444,P,PPLL,BR,BR,26,4211900,,,0,,17,America/Sao_Paulo,03/08/2012
3464110,Ponta da Enseada,Ponta da Enseada,Ponta da Enseada,-2.623.333,-4.851.667,T,PT,BR,,26,4216206,,,0,,6,America/Sao_Paulo,05/12/2018
3464111,Ponta da Enseada,Ponta da Enseada,Ponta da Enseada,-2.383.101,-4.604.765,T,PT,BR,,27,3506359,,,0,,70,America/Sao_Paulo,15/06/2016
3464112,Ponta da Enseada Grande,Ponta da Enseada Grande,Ponta da Enseada$Ponta da Enseada Grande$Ponta da Escada,-232.167,-4.435.046,T,PT,BR,,21,,,,0,,0,America/Sao_Paulo,06/11/2018
3464113,Ponta da Enseada,Ponta da Enseada,Ponta da Enseada,-2.310.263,-441.907,T,PT,BR,,21,3300100,,,0,,19,America/Sao_Paulo,21/04/2014
3464114,Morro da Enseada,Morro da Enseada,Morro da Enseada,-2.382.971,-460.487,T,HLL,BR,,27,3506359,,,0,,86,America/Sao_Paulo,15/06/2016
3464115,Enseada,Enseada,Enseada,-2.348.333,-4.508.333,P,PPL,BR,,27,3555406,,,0,,139,America/Sao_Paulo,05/03/2013
3464116,Ênio Pepino,Enio Pepino,Enio Pepino$Sucessores$Ênio Pepino,-2.248.333,-5.233.333,P,PPL,BR,BR,27,3554300,,,0,,338,America/Sao_Paulo,11/06/2020
3464117,Serra do Engenho Velho,Serra do Engenho Velho,Serra do Engenho$Serra do Engenho Velho,-2.290.386,-4.340.488,T,MTS,BR,,21,,,,0,,141,America/Sao_Paulo,21/02/2019
3464118,Rio Engenho Velho,Rio Engenho Velho,,-29,-49.8,H,STM,BR,,26,,,,0,,58,America/Sao_Paulo,17/12/1993
3464119,Praia do Engenho Velho,Praia do Engenho Velho,Praia do Engenho Velho,-2.281.604,-4.321.246,T,BCH,BR,,21,3304557,,,0,,9,America/Sao_Paulo,22/06/2016
3464120,Arroio Engenho Velho,Arroio Engenho Velho,Arroio Engenho$Arroio Engenho Velho,-2.868.333,-5.208.333,H,STM,BR,BR,23,,,,0,,419,America/Sao_Paulo,19/01/2012
3464121,Engenho Velho,Engenho Velho,Engenho Velho,-20.95,-46.6,P,PPL,BR,,15,3147907,,,0,,1014,America/Sao_Paulo,05/03/2013
3464122,Engenho Velho,Engenho Velho,Fazenda Velha,-1.579.222,-5.612.972,P,PPLL,BR,BR,14,5107800,,,0,,152,America/Cuiaba,03/08/2012
3464123,Engenho Velho,Engenho Velho,,-13.65,-41.65,P,PPL,BR,,5,2926707,,,0,,548,America/Bahia,03/08/2012
3464124,Engenho Velho,Engenho Velho,,-1.276.667,-38.85,P,PPL,BR,,5,2904902,,,0,,149,America/Bahia,03/08/2012
