geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
6322710,Cambé,Cambe,,-2.318.029,-5.129.498,A,ADM2,BR,,18,4103701,,,96735,,536,America/Sao_Paulo,28/05/2014
6322711,Cambira,Cambira,,-2.363.164,-5.156.671,A,ADM2,BR,,18,4103800,,,7236,,631,America/Sao_Paulo,28/05/2014
6322712,Campina da Lagoa,Campina Da Lagoa,,-2.460.154,-5.278.545,A,ADM2,BR,,18,4103909,,,15393,,580,America/Sao_Paulo,21/04/2011
6322713,Campina do Simão,Campina Do Simao,,-2.508.478,-5.178.423,A,ADM2,BR,,18,4103958,,,4076,,1029,America/Sao_Paulo,21/04/2011
6322714,Campina Grande do Sul,Campina Grande do Sul,,-2.518.427,-4.887.208,A,ADM2,BR,,18,4104006,,,38756,,824,America/Sao_Paulo,23/06/2016
6322715,Campo Bonito,Campo Bonito,,-2.488.808,-5.301.009,A,ADM2,BR,,18,4104055,,,4407,,578,America/Sao_Paulo,21/04/2011
6322716,Campo do Tenente,Campo Do Tenente,,-2.595.791,-4.965.936,A,ADM2,BR,,18,4104105,,,7125,,823,America/Sao_Paulo,21/04/2011
6322717,Campo Largo,Campo Largo,,-2.528.411,-4.959.612,A,ADM2,BR,,18,4104204,,,112486,,710,America/Sao_Paulo,21/04/2011
6322718,Campo Magro,Campo Magro,,-2.526.822,-494.758,A,ADM2,BR,,18,4104253,,,24836,,808,America/Sao_Paulo,21/04/2011
6322719,Campo Mourão,Campo Mourao,,-2.411.906,-5.239.187,A,ADM2,BR,,18,4104303,,,87287,,608,America/Sao_Paulo,19/08/2015
6322720,Cândido de Abreu,Candido De Abreu,,-2.467.055,-5.125.748,A,ADM2,BR,,18,4104402,,,16662,,837,America/Sao_Paulo,21/04/2011
6322721,Candói,Candoi,,-2.551.315,-5.202.243,A,ADM2,BR,,18,4104428,,,16053,,854,America/Sao_Paulo,18/03/2022
6322722,Cantagalo,Cantagalo,,-252.953,-5.215.269,A,ADM2,BR,,18,4104451,,,13329,,784,America/Sao_Paulo,18/03/2022
6322723,Capanema,Capanema,,-2.561.839,-5.379.262,A,ADM2,BR,,18,4104501,,,19148,,252,America/Sao_Paulo,18/03/2022
6322724,Capitão Leônidas Marques,Capitao Leonidas Marques,,-2.547.998,-5.358.797,A,ADM2,BR,,18,4104600,,,14936,,403,America/Sao_Paulo,21/04/2011
6322725,Carambeí,Carambei,,-2.490.917,-5.012.717,A,ADM2,BR,,18,4104659,,,23825,,1051,America/Sao_Paulo,18/03/2022
6322726,Carlópolis,Carlopolis,,-2.344.971,-4.970.142,A,ADM2,BR,,18,4104709,,,14356,,552,America/Sao_Paulo,18/03/2022
6322727,Cascavel,Cascavel,,-2.505.252,-5.338.807,A,ADM2,BR,,18,4104808,,,332333,,615,America/Sao_Paulo,18/03/2022
6322728,Castro,Castro,,-248.304,-4.985.535,A,ADM2,BR,,18,4104907,,,71809,,1040,America/Sao_Paulo,18/03/2022
6322729,Catanduvas,Catanduvas,,-2.526.047,-5.317.016,A,ADM2,BR,,18,4105003,,,10167,,599,America/Sao_Paulo,18/03/2022
6322730,Centenário do Sul,Centenario Do Sul,,-2.280.933,-5.154.586,A,ADM2,BR,,18,4105102,,,11178,,457,America/Sao_Paulo,21/04/2011
6322731,Cerro Azul,Cerro Azul,,-2.485.878,-4.929.561,A,ADM2,BR,,18,4105201,,,16948,,493,America/Sao_Paulo,21/04/2011
6322732,Céu Azul,Ceu Azul,,-2.529.831,-5.374.848,A,ADM2,BR,,18,4105300,,,11032,,386,America/Sao_Paulo,21/04/2011
6322733,Chopinzinho,Chopinzinho,,-2.581.428,-5.245.682,A,ADM2,BR,,18,4105409,,,19167,,644,America/Sao_Paulo,18/03/2022
6322734,Cianorte,Cianorte,,-2.369.998,-5.259.033,A,ADM2,BR,,18,4105508,,,83816,,490,America/Sao_Paulo,18/03/2022
6322735,Cidade Gaúcha,Cidade Gaucha,,-2.336.535,-5.297.466,A,ADM2,BR,,18,4105607,,,11067,,425,America/Sao_Paulo,21/04/2011
